path_name,objective,delta
candidate,-0.002784646481406694,0.0
20% contraction,-0.0036952426253293803,-0.0009105961439226863
20% extension,-0.0030996641313743704,-0.00031501764996767637
linear same endpoints,-0.016491257654824308,-0.013706611173417614
bonds/t-bills swapped,-0.004722758118566391,-0.0019381116371596967
linear to 100% stocks,-0.013686175809373749,-0.010901529327967055
