start,max_abs_weight_gap,mean_abs_weight_gap
bisected,0.24613747417595222,0.04758914505449034
constant_anchor,0.3124152763782446,0.07027592487821178
greedy,0.1582574973518794,0.035165299333368365
linear_to_stocks,0.3280289095803645,0.06580325766224031
random_0,0.33196875982880714,0.0705744639761746
random_1,0.7094289103195712,0.09978215692271641
random_2,0.3463708834328191,0.08671183247659468
random_3,0.5752500342346778,0.0939361303796843
