iteration,raw_objective,curvature_penalty_value,curvature_penalty_term,regularized_objective,canonical_objective,objective,smooth,smoothing_strength,smoothing_bandwidth,start
11,-0.001793557293302575,0.8827312657171489,0.0,-0.001793557293302575,-0.0037564037832623137,-0.001793557293302575,True,0.2,10.0,greedy
12,-0.0016058028184726136,0.8780921380587473,0.0,-0.0016058028184726136,-0.003568649308432374,-0.0016058028184726136,True,0.2,10.0,greedy
13,-0.0014521280948526115,0.8794206514556726,0.0,-0.0014521280948526115,-0.003414974584812341,-0.0014521280948526115,True,0.2,10.0,greedy
14,-0.0013318617962880261,0.8905192970992548,0.0,-0.0013318617962880261,-0.00329470828624774,-0.0013318617962880261,True,0.2,10.0,greedy
15,-0.001290106848003611,0.8817129593726165,0.0,-0.001290106848003611,-0.0032529533379633533,-0.001290106848003611,True,0.2,10.0,greedy
0,-0.0014683017961078654,0.3106606429749416,0.0,-0.0014683017961078654,-0.003431148286067604,-0.0014683017961078654,True,0.2,10.0,bisected
1,-0.0012157695655410758,0.9010462258475099,0.0,-0.0012157695655410758,-0.003178616055500818,-0.0012157695655410758,True,0.2,10.0,bisected
2,-0.00112719306069588,0.9900323635269578,0.0,-0.00112719306069588,-0.0030900395506556237,-0.00112719306069588,True,0.2,10.0,bisected
3,-0.0010918576128744989,1.0948572570027355,0.0,-0.0010918576128744989,-0.003054704102834257,-0.0010918576128744989,True,0.2,10.0,bisected
4,-0.0010752160433875105,1.2528752357960315,0.0,-0.0010752160433875105,-0.003038062533347241,-0.0010752160433875105,True,0.2,10.0,bisected
5,-0.001055916712820206,1.445231553405022,0.0,-0.001055916712820206,-0.0030187632027799506,-0.001055916712820206,True,0.2,10.0,bisected
6,-0.0010313843160202124,1.5890326809331377,0.0,-0.0010313843160202124,-0.00299423080597997,-0.0010313843160202124,True,0.2,10.0,bisected
7,-0.0010038410321753092,1.6799961539383883,0.0,-0.0010038410321753092,-0.002966687522135045,-0.0010038410321753092,True,0.2,10.0,bisected
8,-0.000979427927546279,1.7118940920230694,0.0,-0.000979427927546279,-0.0029422744175060128,-0.000979427927546279,True,0.2,10.0,bisected
9,-0.0009651795909209539,1.7147386046080233,0.0,-0.0009651795909209539,-0.0029280260808807025,-0.0009651795909209539,True,0.2,10.0,bisected
10,-0.0009588224105336343,1.6974582793802944,0.0,-0.0009588224105336343,-0.0029216689004933666,-0.0009588224105336343,True,0.2,10.0,bisected
11,-0.0009576907913527979,1.6542018554716804,0.0,-0.0009576907913527979,-0.0029205372813125314,-0.0009576907913527979,True,0.2,10.0,bisected
12,-0.0009577256563865019,1.6526569761070227,0.0,-0.0009577256563865019,-0.0029205721463462287,-0.0009577256563865019,True,0.2,10.0,bisected
0,-0.01055730850268937,41.71728542172052,0.0,-0.01055730850268937,-0.012520154992649109,-0.01055730850268937,True,0.2,10.0,random_0
1,-0.007957526822018413,32.12544100865029,0.0,-0.007957526822018413,-0.009920373311978183,-0.007957526822018413,True,0.2,10.0,random_0
2,-0.0062907634779032105,25.02789927162211,0.0,-0.0062907634779032105,-0.008253609967862962,-0.0062907634779032105,True,0.2,10.0,random_0
3,-0.005182519930891987,19.731499894385045,0.0,-0.005182519930891987,-0.007145366420851743,-0.005182519930891987,True,0.2,10.0,random_0
4,-0.0044019872785842325,15.76040310416494,0.0,-0.0044019872785842325,-0.00636483376854396,-0.0044019872785842325,True,0.2,10.0,random_0
5,-0.003815088879469677,12.806089169259575,0.0,-0.003815088879469677,-0.005777935369429447,-0.003815088879469677,True,0.2,10.0,random_0
6,-0.0033505514113249023,10.594459578927733,0.0,-0.0033505514113249023,-0.005313397901284644,-0.0033505514113249023,True,0.2,10.0,random_0
7,-0.002962482698184742,8.947736377104011,0.0,-0.002962482698184742,-0.004925329188144513,-0.002962482698184742,True,0.2,10.0,random_0
8,-0.0026318489930734217,7.701647382443566,0.0,-0.0026318489930734217,-0.004594695483033156,-0.0026318489930734217,True,0.2,10.0,random_0
9,-0.002346772014580783,6.729990437488036,0.0,-0.002346772014580783,-0.004309618504540519,-0.002346772014580783,True,0.2,10.0,random_0
10,-0.0021033156400420737,5.947877984778934,0.0,-0.0021033156400420737,-0.004066162130001826,-0.0021033156400420737,True,0.2,10.0,random_0
11,-0.0018951690136767342,5.304392145349128,0.0,-0.0018951690136767342,-0.0038580155036364557,-0.0018951690136767342,True,0.2,10.0,random_0
12,-0.001719582684542697,4.774725614352226,0.0,-0.001719582684542697,-0.003682429174502429,-0.001719582684542697,True,0.2,10.0,random_0
13,-0.0015738104825017713,4.335799142916613,0.0,-0.0015738104825017713,-0.003536656972461527,-0.0015738104825017713,True,0.2,10.0,random_0
14,-0.0014554013044607678,3.968754236475425,0.0,-0.0014554013044607678,-0.0034182477944204944,-0.0014554013044607678,True,0.2,10.0,random_0
15,-0.0014127742199704489,3.5565965316580446,0.0,-0.0014127742199704489,-0.003375620709930192,-0.0014127742199704489,True,0.2,10.0,random_0
0,-0.01161090917636078,44.820987815435615,0.0,-0.01161090917636078,-0.013573755666320526,-0.01161090917636078,True,0.2,10.0,random_1
1,-0.007951148918803103,34.28813177756503,0.0,-0.007951148918803103,-0.00991399540876284,-0.007951148918803103,True,0.2,10.0,random_1
2,-0.0058434458726047455,26.25380656647376,0.0,-0.0058434458726047455,-0.0078062923625644735,-0.0058434458726047455,True,0.2,10.0,random_1
3,-0.004507986253892597,20.18184852102395,0.0,-0.004507986253892597,-0.006470832743852371,-0.004507986253892597,True,0.2,10.0,random_1
4,-0.0036610915263699997,15.648438331226073,0.0,-0.0036610915263699997,-0.005623938016329776,-0.0036610915263699997,True,0.2,10.0,random_1
5,-0.0031078680981236812,12.311173848696328,0.0,-0.0031078680981236812,-0.005070714588083438,-0.0031078680981236812,True,0.2,10.0,random_1
6,-0.0027057271014484107,9.85590806118158,0.0,-0.0027057271014484107,-0.004668573591408162,-0.0027057271014484107,True,0.2,10.0,random_1
7,-0.0023944640704982984,8.053026631965917,0.0,-0.0023944640704982984,-0.004357310560458063,-0.0023944640704982984,True,0.2,10.0,random_1
8,-0.0021363096849785898,6.754531403245524,0.0,-0.0021363096849785898,-0.004099156174938313,-0.0021363096849785898,True,0.2,10.0,random_1
9,-0.0019222789140884763,5.8359700462784305,0.0,-0.0019222789140884763,-0.003885125404048233,-0.0019222789140884763,True,0.2,10.0,random_1
10,-0.0017407142913212171,5.13072707872062,0.0,-0.0017407142913212171,-0.003703560781280979,-0.0017407142913212171,True,0.2,10.0,random_1
11,-0.001588507950547795,4.56876110746342,0.0,-0.001588507950547795,-0.0035513544405075563,-0.001588507950547795,True,0.2,10.0,random_1
12,-0.001461609604722515,4.112796988413624,0.0,-0.001461609604722515,-0.003424456094682276,-0.001461609604722515,True,0.2,10.0,random_1
13,-0.0013589073017556417,3.7380684340676913,0.0,-0.0013589073017556417,-0.0033217537917154105,-0.0013589073017556417,True,0.2,10.0,random_1
14,-0.0012774431856577104,3.4235773411583654,0.0,-0.0012774431856577104,-0.003240289675617468,-0.0012774431856577104,True,0.2,10.0,random_1
15,-0.001251172425587241,3.074955440006036,0.0,-0.001251172425587241,-0.003214018915546971,-0.001251172425587241,True,0.2,10.0,random_1
0,-0.010799977954710813,45.62867331874301,0.0,-0.010799977954710813,-0.012762824444670574,-0.010799977954710813,True,0.2,10.0,random_2
1,-0.00772036118372792,35.39815194881332,0.0,-0.00772036118372792,-0.00968320767368767,-0.00772036118372792,True,0.2,10.0,random_2
2,-0.005887037717366288,27.58036113450342,0.0,-0.005887037717366288,-0.007849884207326045,-0.005887037717366288,True,0.2,10.0,random_2
3,-0.004746631604761512,21.586156581351776,0.0,-0.004746631604761512,-0.006709478094721244,-0.004746631604761512,True,0.2,10.0,random_2
4,-0.004007178905912776,17.01223331850482,0.0,-0.004007178905912776,-0.005970025395872527,-0.004007178905912776,True,0.2,10.0,random_2
5,-0.0035025076621693313,13.524144536773193,0.0,-0.0035025076621693313,-0.005465354152129078,-0.0035025076621693313,True,0.2,10.0,random_2
6,-0.00312211911775894,10.960270545224336,0.0,-0.00312211911775894,-0.00508496560771864,-0.00312211911775894,True,0.2,10.0,random_2
7,-0.0028054343490261386,9.144859632081367,0.0,-0.0028054343490261386,-0.004768280838985913,-0.0028054343490261386,True,0.2,10.0,random_2
8,-0.002527156253605126,7.769659690822138,0.0,-0.002527156253605126,-0.00449000274356487,-0.002527156253605126,True,0.2,10.0,random_2
9,-0.0022753779287649264,6.699949542530717,0.0,-0.0022753779287649264,-0.004238224418724652,-0.0022753779287649264,True,0.2,10.0,random_2
10,-0.002051226378744385,5.855182632263697,0.0,-0.002051226378744385,-0.004014072868704139,-0.002051226378744385,True,0.2,10.0,random_2
11,-0.001858560525994315,5.1658945956556055,0.0,-0.001858560525994315,-0.003821407015954055,-0.001858560525994315,True,0.2,10.0,random_2
12,-0.0016936528508840862,4.58998713918532,0.0,-0.0016936528508840862,-0.003656499340843809,-0.0016936528508840862,True,0.2,10.0,random_2
13,-0.0015542236354342286,4.102765538549466,0.0,-0.0015542236354342286,-0.0035170701253939575,-0.0015542236354342286,True,0.2,10.0,random_2
14,-0.0014387988679197105,3.692443885686572,0.0,-0.0014387988679197105,-0.0034016453578794457,-0.0014387988679197105,True,0.2,10.0,random_2
15,-0.0013969273388999364,3.270822201865708,0.0,-0.0013969273388999364,-0.0033597738288596857,-0.0013969273388999364,True,0.2,10.0,random_2
0,-0.014280294290424015,43.16389871799895,0.0,-0.014280294290424015,-0.016243140780383816,-0.014280294290424015,True,0.2,10.0,random_3
1,-0.009763714462723143,34.26728225480312,0.0,-0.009763714462723143,-0.011726560952682924,-0.009763714462723143,True,0.2,10.0,random_3
2,-0.006881898249860549,27.39934038155551,0.0,-0.006881898249860549,-0.00884474473982027,-0.006881898249860549,True,0.2,10.0,random_3
3,-0.005125265966758063,22.068878415681638,0.0,-0.005125265966758063,-0.007088112456717794,-0.005125265966758063,True,0.2,10.0,random_3
4,-0.004031243344656035,17.93620004629096,0.0,-0.004031243344656035,-0.005994089834615754,-0.004031243344656035,True,0.2,10.0,random_3
5,-0.003297793768335723,14.734283873543347,0.0,-0.003297793768335723,-0.005260640258295477,-0.003297793768335723,True,0.2,10.0,random_3
6,-0.0027837130506039058,12.275623662204781,0.0,-0.0027837130506039058,-0.0047465595405636295,-0.0027837130506039058,True,0.2,10.0,random_3
7,-0.0024046926385364858,10.38271699691835,0.0,-0.0024046926385364858,-0.00436753912849623,-0.0024046926385364858,True,0.2,10.0,random_3
8,-0.0021249884969963043,8.868409577757259,0.0,-0.0021249884969963043,-0.004087834986956036,-0.0021249884969963043,True,0.2,10.0,random_3
9,-0.0019028162773874115,7.637156322912771,0.0,-0.0019028162773874115,-0.0038656627673471235,-0.0019028162773874115,True,0.2,10.0,random_3
10,-0.0017199059332935124,6.625605326555573,0.0,-0.0017199059332935124,-0.0036827524232532776,-0.0017199059332935124,True,0.2,10.0,random_3
11,-0.0015702336265688915,5.790246907196448,0.0,-0.0015702336265688915,-0.0035330801165286262,-0.0015702336265688915,True,0.2,10.0,random_3
12,-0.0014482962734567834,5.114143862270231,0.0,-0.0014482962734567834,-0.0034111427634165446,-0.0014482962734567834,True,0.2,10.0,random_3
13,-0.001350714901493736,4.578590027347467,0.0,-0.001350714901493736,-0.003313561391453451,-0.001350714901493736,True,0.2,10.0,random_3
14,-0.0012756152683847351,4.136097657717598,0.0,-0.0012756152683847351,-0.0032384617583444976,-0.0012756152683847351,True,0.2,10.0,random_3
15,-0.001249823473547899,3.6960278059574945,0.0,-0.001249823473547899,-0.0032126699635076543,-0.001249823473547899,True,0.2,10.0,random_3
