horizon,stock_weight,bond_weight,t_bill_weight
1,0.18105864465417143,0.02043798646225794,0.7985033688835707
2,0.34172361274125196,0.2266446536026265,0.4316317336561215
3,0.41756741836775957,0.21141626880431744,0.371016312827923
4,0.48268992554026485,0.23331309953239598,0.2839969749273392
5,0.4828500197682313,0.2568615567949255,0.2602884234368432
6,0.4871308879553738,0.25945256210369333,0.25341654994093293
7,0.49086322241970604,0.24967921642681146,0.2594575611534825
8,0.5015236778911979,0.25029678225180035,0.24817953985700175
9,0.5280983395232695,0.26364326411615246,0.20825839636057808
10,0.5347782674308914,0.2854155590213687,0.17980617354773987
11,0.5516280196026021,0.29419143229713823,0.15418054810025966
12,0.559932557945793,0.30258410115296946,0.13748334090123754
13,0.5795072775514067,0.30230567897219507,0.11818704347639819
14,0.591508822603378,0.2988724214943862,0.1096187559022358
15,0.6035188097053512,0.309006002813078,0.08747518748157079
16,0.6178273438829004,0.3121070181241763,0.07006563799292331
17,0.6223359415774102,0.314987458016427,0.06267660040616274
18,0.6341541427266191,0.31970459543250984,0.046141261840871084
19,0.6434122194307721,0.32182946741168483,0.034758313157543075
20,0.6500764600553035,0.32231882853636934,0.027604711408327154
21,0.6562635760135829,0.32146016929148646,0.022276254694930664
22,0.660084459682587,0.32132761823784867,0.018587922079564334
23,0.6664256811482805,0.3206853369153759,0.012888981936343635
24,0.6744618810848879,0.3190402389476531,0.006497879967458986
25,0.6804533455086736,0.3159744165779749,0.003572237913351428
26,0.6853877279256547,0.31202642313044066,0.002585848943904623
27,0.689412123572452,0.3087709636970536,0.0018169127304944466
28,0.6926468609012861,0.30612130100817825,0.0012318380905356197
29,0.6992403221332449,0.30075967786675506,0.0
30,0.7019022034456187,0.2980977965543813,0.0
31,0.7067069033409676,0.29329309665903236,0.0
32,0.7128104286199284,0.2871895713800716,0.0
33,0.7158299839799924,0.2841700160200076,0.0
34,0.7175769068325837,0.2824230931674163,0.0
35,0.7191198306951868,0.2808801693048132,0.0
36,0.7248918783766046,0.2751081216233954,0.0
37,0.7243493334493449,0.27565066655065507,0.0
38,0.7249165011044293,0.2750834988955707,0.0
39,0.7265748906680183,0.2734251093319817,0.0
40,0.7244599406626637,0.2755400593373363,0.0
41,0.7233986151528529,0.27660138484714714,0.0
42,0.7251789286696733,0.27482107133032674,0.0
43,0.7280590033604263,0.2719409966395737,0.0
44,0.7264445901402663,0.2735554098597337,0.0
45,0.726993070619436,0.27300692938056403,0.0
46,0.7234198154612153,0.27658018453878475,0.0
47,0.7244679262153413,0.2755320737846587,0.0
48,0.7264719688648524,0.27352803113514756,0.0
49,0.7237508533775908,0.2762491466224092,0.0
50,0.6565095123936447,0.34349048760635537,0.0
