start,initial_raw_objective,initial_regularized_objective,final_raw_objective,final_regularized_objective,best_raw_objective,best_regularized_objective,canonical_objective,curvature_penalty_value,curvature_penalty_term,trace_states,early_stop,seconds
random_3,-0.008755643913288811,-0.008755643913288811,-0.002184965242694211,-0.002184965242694211,-0.002184965242694211,-0.002184965242694211,-0.002179678829990519,0.45856103810434984,0.0,41,True,55.2
random_1,-0.010625355924184685,-0.010625355924184685,-0.0021933895211045796,-0.0021933895211045796,-0.0021933895211045796,-0.0021933895211045796,-0.002187752495398741,0.388306934201278,0.0,90,True,126.1
random_average,,,-0.002212461344146409,-0.002212461344146409,-0.002212461344146409,-0.002212461344146409,-0.0022071517769691592,0.40937373873308486,0.0,1,True,0.0
linear_to_stocks,-0.013690186104510926,-0.013690186104510926,-0.002225548603483354,-0.002225548603483354,-0.002225548603483354,-0.002225548603483354,-0.0022204808626574554,0.42098038344050226,0.0,64,True,83.2
random_2,-0.01012020535567799,-0.01012020535567799,-0.0022538885553800474,-0.0022538885553800474,-0.0022538885553800474,-0.0022538885553800474,-0.002249296025055559,0.4646752798133218,0.0,25,True,36.1
random_0,-0.016863425773271046,-0.016863425773271046,-0.002282403954115002,-0.002282403954115002,-0.002282403954115002,-0.002282403954115002,-0.002276681654140024,0.38137464454504966,0.0,91,True,114.7
bisected,-0.003435158581204802,-0.003435158581204802,-0.0022918585948277013,-0.0022918585948277013,-0.0022918585948277013,-0.0022918585948277013,-0.0022880800554227762,0.43177276356406347,0.0,10,True,16.2
greedy,-0.010719567859240336,-0.010719567859240336,-0.0023630318642452373,-0.0023630318642452373,-0.0023630318642452373,-0.0023630318642452373,-0.0023593466453663645,0.4450608805072648,0.0,17,True,25.9
constant_anchor,-0.02988981510947123,-0.02988981510947123,-0.002485925905569951,-0.002485925905569951,-0.002485925905569951,-0.002485925905569951,-0.0024802737042839275,0.4067181677203366,0.0,92,True,122.6
