horizon,stock_weight,bond_weight,t_bill_weight
1,0.10215887274828153,0.0,0.8978411272517185
4,0.3290624049434475,0.3781797865749579,0.2927578084815946
7,0.35415541311967436,0.4084442807681541,0.23740030611217156
10,0.3406788780142687,0.4964771199954738,0.16284400199025756
13,0.37968417783011726,0.4819848693248592,0.1383309528450236
16,0.46456653525697794,0.46489829230548,0.07053517243754209
19,0.501171653820638,0.4573202177240604,0.04150812845530161
22,0.5471045749752932,0.44887349704800866,0.0040219279766981475
25,0.5587231142990496,0.43857808520805985,0.0026988004928905074
28,0.5782865422383698,0.42148252708321454,0.00023093067841561954
31,0.5975112696382326,0.40248873036176736,0.0
34,0.6223432566760068,0.37765674332399324,0.0
37,0.6257477321697809,0.37425226783021914,0.0
40,0.6357153854021633,0.3642846145978367,0.0
43,0.6440991905839977,0.35590080941600233,0.0
46,0.635174306793134,0.364825693206866,0.0
50,0.6258165460871317,0.3741834539128684,0.0
