iteration,horizon,stock_weight,bond_weight,t_bill_weight,is_horizon_one_anchor
4,1,0.0,0.24,0.76,True
4,4,0.5615423355015887,0.0,0.43845766449841134,False
4,7,0.6275060279898212,0.012268871844540353,0.36022510016563847,False
4,10,0.624644719486283,0.19306848445509672,0.18228679605862033,False
4,13,0.5992677468661591,0.3940859179320159,0.006646335201824923,False
4,16,0.6370590820911084,0.3629409179088916,0.0,False
4,19,0.6440376860443485,0.3559623139556515,0.0,False
4,22,0.6663851853813423,0.33361481461865766,0.0,False
4,25,0.6390422762476722,0.3609577237523278,0.0,False
4,28,0.6621427562429572,0.33785724375704285,0.0,False
4,31,0.684672046219596,0.315327953780404,0.0,False
4,34,0.7041845736333564,0.22729620414215249,0.06851922222449117,False
4,37,0.725402200973177,0.13749194822091682,0.1371058508059063,False
4,40,0.682237633531063,0.16070934218027477,0.157053024288662,False
4,43,0.6380065431942404,0.18327612772019225,0.17871732908556737,False
4,46,0.5982421424449905,0.2023854781385285,0.19937237941648103,False
4,50,0.5432388074407807,0.22827732673469944,0.22848386582451996,False
