global_step,iteration,iteration_step,raw_objective_before_step,curvature_penalty_value_before_step,curvature_penalty_term_before_step,regularized_objective_before_step,objective_before_step,raw_objective,curvature_penalty_value,curvature_penalty_term,regularized_objective,canonical_objective,objective,control_point_count,curvature_penalty_weight,curvature_huber_delta,smooth,smoothing_strength,smoothing_bandwidth
22,3,2,-0.0038900932901812526,0.15273783210116143,1.5273783210116144e-05,-0.003905367073391369,-0.003905367073391369,-0.003377296191628497,0.14427313682998294,1.4427313682998295e-05,-0.0033917235053114955,-0.005340142681588226,-0.0033917235053114955,9,0.0001,0.0001,True,0.2,10.0
23,3,3,-0.003377296191628497,0.14427313682998294,1.4427313682998295e-05,-0.0033917235053114955,-0.0033917235053114955,-0.003013022699905711,0.15795904738046593,1.5795904738046593e-05,-0.0030288186046437573,-0.004975869189865473,-0.0030288186046437573,9,0.0001,0.0001,True,0.2,10.0
24,3,4,-0.003013022699905711,0.15795904738046593,1.5795904738046593e-05,-0.0030288186046437573,-0.0030288186046437573,-0.002746055134785743,0.16176894229899333,1.6176894229899332e-05,-0.0027622320290156426,-0.00470890162474551,-0.0027622320290156426,9,0.0001,0.0001,True,0.2,10.0
25,3,5,-0.002746055134785743,0.16176894229899333,1.6176894229899332e-05,-0.0027622320290156426,-0.0027622320290156426,-0.0025552869089915135,0.15989932957839711,1.5989932957839712e-05,-0.002571276841949353,-0.004518133398951244,-0.002571276841949353,9,0.0001,0.0001,True,0.2,10.0
26,3,6,-0.0025552869089915135,0.15989932957839711,1.5989932957839712e-05,-0.002571276841949353,-0.002571276841949353,-0.00242426088523352,0.1656023413373846,1.6560234133738463e-05,-0.0024408211193672584,-0.004387107375193261,-0.0024408211193672584,9,0.0001,0.0001,True,0.2,10.0
27,3,7,-0.00242426088523352,0.1656023413373846,1.6560234133738463e-05,-0.0024408211193672584,-0.0024408211193672584,-0.0023314865619309924,0.17698125392098638,1.7698125392098637e-05,-0.002349184687323091,-0.004294333051890774,-0.002349184687323091,9,0.0001,0.0001,True,0.2,10.0
28,3,8,-0.0023314865619309924,0.17698125392098638,1.7698125392098637e-05,-0.002349184687323091,-0.002349184687323091,-0.002264237230664905,0.1824627885655338,1.8246278856553382e-05,-0.002282483509521458,-0.004227083720624632,-0.002282483509521458,9,0.0001,0.0001,True,0.2,10.0
29,3,9,-0.002264237230664905,0.1824627885655338,1.8246278856553382e-05,-0.002282483509521458,-0.002282483509521458,-0.002215410098599163,0.18579652225167498,1.85796522251675e-05,-0.0022339897508243303,-0.004178256588558916,-0.0022339897508243303,9,0.0001,0.0001,True,0.2,10.0
30,3,10,-0.002215410098599163,0.18579652225167498,1.85796522251675e-05,-0.0022339897508243303,-0.0022339897508243303,-0.002185254802802911,0.18453545827803053,1.8453545827803055e-05,-0.002203708348630714,-0.004148101292762632,-0.002203708348630714,9,0.0001,0.0001,True,0.2,10.0
31,4,1,-0.002185254802802911,0.18453545827803042,1.845354582780304e-05,-0.002203708348630714,-0.002203708348630714,-0.0016656848718908223,0.7270369158428064,7.270369158428065e-05,-0.001738388563475103,-0.0036285313618505564,-0.001738388563475103,17,0.0001,0.0001,True,0.2,10.0
32,4,2,-0.0016656848718908223,0.7270369158428064,7.270369158428065e-05,-0.001738388563475103,-0.001738388563475103,-0.0013815896779231197,0.38590201404196434,3.8590201404196436e-05,-0.0014201798793273162,-0.003344436167882853,-0.0014201798793273162,17,0.0001,0.0001,True,0.2,10.0
33,4,3,-0.0013815896779231197,0.38590201404196434,3.8590201404196436e-05,-0.0014201798793273162,-0.0014201798793273162,-0.0012466153028205247,0.5117462527567321,5.117462527567321e-05,-0.001297789928096198,-0.003209461792780301,-0.001297789928096198,17,0.0001,0.0001,True,0.2,10.0
34,4,4,-0.0012466153028205247,0.5117462527567321,5.117462527567321e-05,-0.001297789928096198,-0.001297789928096198,-0.0011610678659096391,0.5604141065487855,5.604141065487856e-05,-0.0012171092765645177,-0.0031239143558693754,-0.0012171092765645177,17,0.0001,0.0001,True,0.2,10.0
35,4,5,-0.0011610678659096391,0.5604141065487855,5.604141065487856e-05,-0.0012171092765645177,-0.0012171092765645177,-0.0011092288502780629,0.46343671984258006,4.6343671984258006e-05,-0.001155572522262321,-0.003072075340237822,-0.001155572522262321,17,0.0001,0.0001,True,0.2,10.0
36,4,6,-0.0011092288502780629,0.46343671984258006,4.6343671984258006e-05,-0.001155572522262321,-0.001155572522262321,-0.001088694872192126,0.43674500704114694,4.3674500704114694e-05,-0.0011323693728962408,-0.003051541362151855,-0.0011323693728962408,17,0.0001,0.0001,True,0.2,10.0
37,4,7,-0.001088694872192126,0.43674500704114694,4.3674500704114694e-05,-0.0011323693728962408,-0.0011323693728962408,-0.001085312442880061,0.4402015680287167,4.4020156802871674e-05,-0.0011293325996829327,-0.0030481589328397863,-0.0011293325996829327,17,0.0001,0.0001,True,0.2,10.0
38,4,8,-0.001085312442880061,0.4402015680287167,4.4020156802871674e-05,-0.0011293325996829327,-0.0011293325996829327,-0.0010867076214804703,0.38571869026646294,3.85718690266463e-05,-0.0011252794905071166,-0.003049554111440223,-0.0011252794905071166,17,0.0001,0.0001,True,0.2,10.0
39,4,9,-0.0010867076214804703,0.38571869026646294,3.85718690266463e-05,-0.0011252794905071166,-0.0011252794905071166,-0.0010886803242624867,0.40180908487287914,4.018090848728792e-05,-0.0011288612327497746,-0.0030515268142222076,-0.0011288612327497746,17,0.0001,0.0001,True,0.2,10.0
40,4,10,-0.0010886803242624867,0.40180908487287914,4.018090848728792e-05,-0.0011288612327497746,-0.0011288612327497746,-0.0010884384387321957,0.3866186369466504,3.866186369466504e-05,-0.0011271003024268607,-0.003051284928691966,-0.0011271003024268607,17,0.0001,0.0001,True,0.2,10.0
41,5,1,-0.0010884384387321961,0.3866186369466506,3.8661863694665065e-05,-0.0011271003024268611,-0.0011271003024268611,-0.0009963378171705434,3.2576236390914497,0.000325762363909145,-0.0013221001810796885,-0.0029591843071302693,-0.0013221001810796885,33,0.0001,0.0001,True,0.2,10.0
42,5,2,-0.0009963378171705434,3.2576236390914497,0.000325762363909145,-0.0013221001810796885,-0.0013221001810796885,-0.0009423338722671268,1.5326539326582589,0.0001532653932658259,-0.0010955992655329527,-0.0029051803622268803,-0.0010955992655329527,33,0.0001,0.0001,True,0.2,10.0
