iteration,gradient_step,horizon,stock_weight,bond_weight,t_bill_weight,raw_objective,curvature_penalty_value,curvature_penalty_term,regularized_objective,canonical_objective,objective,is_control_point
0,0,1,0.0,0.24,0.76,-0.01172332931941399,3.0721591878514517e-27,0.0,-0.01172332931941399,-0.013686175809373749,-0.01172332931941399,True
0,0,2,0.02040816326530612,0.23510204081632652,0.7444897959183674,-0.01172332931941399,3.0721591878514517e-27,0.0,-0.01172332931941399,-0.013686175809373749,-0.01172332931941399,False
0,0,3,0.04081632653061224,0.23020408163265305,0.7289795918367347,-0.01172332931941399,3.0721591878514517e-27,0.0,-0.01172332931941399,-0.013686175809373749,-0.01172332931941399,False
0,0,4,0.061224489795918366,0.22530612244897957,0.713469387755102,-0.01172332931941399,3.0721591878514517e-27,0.0,-0.01172332931941399,-0.013686175809373749,-0.01172332931941399,False
0,0,5,0.08163265306122448,0.2204081632653061,0.6979591836734694,-0.01172332931941399,3.0721591878514517e-27,0.0,-0.01172332931941399,-0.013686175809373749,-0.01172332931941399,False
0,0,6,0.10204081632653061,0.21551020408163266,0.6824489795918367,-0.01172332931941399,3.0721591878514517e-27,0.0,-0.01172332931941399,-0.013686175809373749,-0.01172332931941399,False
0,0,7,0.12244897959183673,0.21061224489795918,0.6669387755102041,-0.01172332931941399,3.0721591878514517e-27,0.0,-0.01172332931941399,-0.013686175809373749,-0.01172332931941399,False
0,0,8,0.14285714285714285,0.2057142857142857,0.6514285714285715,-0.01172332931941399,3.0721591878514517e-27,0.0,-0.01172332931941399,-0.013686175809373749,-0.01172332931941399,False
0,0,9,0.16326530612244897,0.20081632653061224,0.6359183673469389,-0.01172332931941399,3.0721591878514517e-27,0.0,-0.01172332931941399,-0.013686175809373749,-0.01172332931941399,False
0,0,10,0.1836734693877551,0.19591836734693877,0.6204081632653061,-0.01172332931941399,3.0721591878514517e-27,0.0,-0.01172332931941399,-0.013686175809373749,-0.01172332931941399,False
0,0,11,0.20408163265306123,0.1910204081632653,0.6048979591836735,-0.01172332931941399,3.0721591878514517e-27,0.0,-0.01172332931941399,-0.013686175809373749,-0.01172332931941399,False
0,0,12,0.22448979591836735,0.18612244897959182,0.5893877551020408,-0.01172332931941399,3.0721591878514517e-27,0.0,-0.01172332931941399,-0.013686175809373749,-0.01172332931941399,False
0,0,13,0.24489795918367346,0.18122448979591838,0.5738775510204082,-0.01172332931941399,3.0721591878514517e-27,0.0,-0.01172332931941399,-0.013686175809373749,-0.01172332931941399,False
0,0,14,0.2653061224489796,0.1763265306122449,0.5583673469387755,-0.01172332931941399,3.0721591878514517e-27,0.0,-0.01172332931941399,-0.013686175809373749,-0.01172332931941399,False
0,0,15,0.2857142857142857,0.17142857142857143,0.5428571428571429,-0.01172332931941399,3.0721591878514517e-27,0.0,-0.01172332931941399,-0.013686175809373749,-0.01172332931941399,False
0,0,16,0.30612244897959184,0.16653061224489796,0.5273469387755102,-0.01172332931941399,3.0721591878514517e-27,0.0,-0.01172332931941399,-0.013686175809373749,-0.01172332931941399,False
0,0,17,0.32653061224489793,0.16163265306122448,0.5118367346938776,-0.01172332931941399,3.0721591878514517e-27,0.0,-0.01172332931941399,-0.013686175809373749,-0.01172332931941399,False
0,0,18,0.3469387755102041,0.156734693877551,0.4963265306122449,-0.01172332931941399,3.0721591878514517e-27,0.0,-0.01172332931941399,-0.013686175809373749,-0.01172332931941399,False
0,0,19,0.3673469387755102,0.15183673469387754,0.48081632653061224,-0.01172332931941399,3.0721591878514517e-27,0.0,-0.01172332931941399,-0.013686175809373749,-0.01172332931941399,False
0,0,20,0.3877551020408163,0.14693877551020407,0.4653061224489796,-0.01172332931941399,3.0721591878514517e-27,0.0,-0.01172332931941399,-0.013686175809373749,-0.01172332931941399,False
0,0,21,0.40816326530612246,0.1420408163265306,0.44979591836734695,-0.01172332931941399,3.0721591878514517e-27,0.0,-0.01172332931941399,-0.013686175809373749,-0.01172332931941399,False
0,0,22,0.42857142857142855,0.13714285714285715,0.43428571428571433,-0.01172332931941399,3.0721591878514517e-27,0.0,-0.01172332931941399,-0.013686175809373749,-0.01172332931941399,False
0,0,23,0.4489795918367347,0.13224489795918365,0.41877551020408166,-0.01172332931941399,3.0721591878514517e-27,0.0,-0.01172332931941399,-0.013686175809373749,-0.01172332931941399,False
0,0,24,0.46938775510204084,0.12734693877551018,0.403265306122449,-0.01172332931941399,3.0721591878514517e-27,0.0,-0.01172332931941399,-0.013686175809373749,-0.01172332931941399,False
0,0,25,0.4897959183673469,0.12244897959183673,0.3877551020408163,-0.01172332931941399,3.0721591878514517e-27,0.0,-0.01172332931941399,-0.013686175809373749,-0.01172332931941399,False
0,0,26,0.5102040816326531,0.11755102040816326,0.3722448979591837,-0.01172332931941399,3.0721591878514517e-27,0.0,-0.01172332931941399,-0.013686175809373749,-0.01172332931941399,False
0,0,27,0.5306122448979592,0.11265306122448979,0.356734693877551,-0.01172332931941399,3.0721591878514517e-27,0.0,-0.01172332931941399,-0.013686175809373749,-0.01172332931941399,False
0,0,28,0.5510204081632653,0.10775510204081634,0.3412244897959184,-0.01172332931941399,3.0721591878514517e-27,0.0,-0.01172332931941399,-0.013686175809373749,-0.01172332931941399,False
0,0,29,0.5714285714285714,0.10285714285714287,0.32571428571428573,-0.01172332931941399,3.0721591878514517e-27,0.0,-0.01172332931941399,-0.013686175809373749,-0.01172332931941399,False
0,0,30,0.5918367346938775,0.0979591836734694,0.31020408163265306,-0.01172332931941399,3.0721591878514517e-27,0.0,-0.01172332931941399,-0.013686175809373749,-0.01172332931941399,False
0,0,31,0.6122448979591837,0.09306122448979592,0.2946938775510204,-0.01172332931941399,3.0721591878514517e-27,0.0,-0.01172332931941399,-0.013686175809373749,-0.01172332931941399,False
0,0,32,0.6326530612244898,0.08816326530612242,0.2791836734693877,-0.01172332931941399,3.0721591878514517e-27,0.0,-0.01172332931941399,-0.013686175809373749,-0.01172332931941399,False
0,0,33,0.6530612244897959,0.08326530612244898,0.26367346938775515,-0.01172332931941399,3.0721591878514517e-27,0.0,-0.01172332931941399,-0.013686175809373749,-0.01172332931941399,False
0,0,34,0.673469387755102,0.0783673469387755,0.24816326530612243,-0.01172332931941399,3.0721591878514517e-27,0.0,-0.01172332931941399,-0.013686175809373749,-0.01172332931941399,False
0,0,35,0.6938775510204082,0.07346938775510203,0.2326530612244898,-0.01172332931941399,3.0721591878514517e-27,0.0,-0.01172332931941399,-0.013686175809373749,-0.01172332931941399,False
0,0,36,0.7142857142857143,0.06857142857142856,0.21714285714285708,-0.01172332931941399,3.0721591878514517e-27,0.0,-0.01172332931941399,-0.013686175809373749,-0.01172332931941399,False
0,0,37,0.7346938775510204,0.06367346938775509,0.20163265306122446,-0.01172332931941399,3.0721591878514517e-27,0.0,-0.01172332931941399,-0.013686175809373749,-0.01172332931941399,False
0,0,38,0.7551020408163265,0.058775510204081644,0.18612244897959185,-0.01172332931941399,3.0721591878514517e-27,0.0,-0.01172332931941399,-0.013686175809373749,-0.01172332931941399,False
0,0,39,0.7755102040816326,0.05387755102040817,0.17061224489795923,-0.01172332931941399,3.0721591878514517e-27,0.0,-0.01172332931941399,-0.013686175809373749,-0.01172332931941399,False
0,0,40,0.7959183673469388,0.0489795918367347,0.1551020408163265,-0.01172332931941399,3.0721591878514517e-27,0.0,-0.01172332931941399,-0.013686175809373749,-0.01172332931941399,False
