iteration,gradient_step,horizon,stock_weight,bond_weight,t_bill_weight,raw_objective,curvature_penalty_value,curvature_penalty_term,regularized_objective,canonical_objective,objective,is_control_point
5,42,1,0.0,0.24,0.76,-0.0009423338722671268,1.5326539326582589,0.0001532653932658259,-0.0010955992655329527,-0.0029051803622268803,-0.0010955992655329527,True
5,42,2,0.31729415307932385,0.23804174708477055,0.4446640998359056,-0.0009423338722671268,1.5326539326582589,0.0001532653932658259,-0.0010955992655329527,-0.0029051803622268803,-0.0010955992655329527,True
5,42,3,0.3728134397375362,0.2932168993633409,0.3339696608991229,-0.0009423338722671268,1.5326539326582589,0.0001532653932658259,-0.0010955992655329527,-0.0029051803622268803,-0.0010955992655329527,False
5,42,4,0.42833272639574854,0.3483920516419112,0.22327522196234018,-0.0009423338722671268,1.5326539326582589,0.0001532653932658259,-0.0010955992655329527,-0.0029051803622268803,-0.0010955992655329527,True
5,42,5,0.4840428167452129,0.3914986005688632,0.12445858268592391,-0.0009423338722671268,1.5326539326582589,0.0001532653932658259,-0.0010955992655329527,-0.0029051803622268803,-0.0010955992655329527,True
5,42,6,0.48760881832409814,0.3846847451900415,0.12770643648586041,-0.0009423338722671268,1.5326539326582589,0.0001532653932658259,-0.0010955992655329527,-0.0029051803622268803,-0.0010955992655329527,False
5,42,7,0.4911748199029834,0.3778708898112197,0.13095429028579691,-0.0009423338722671268,1.5326539326582589,0.0001532653932658259,-0.0010955992655329527,-0.0029051803622268803,-0.0010955992655329527,True
5,42,8,0.48575786524251163,0.38119266232044147,0.1330494724370469,-0.0009423338722671268,1.5326539326582589,0.0001532653932658259,-0.0010955992655329527,-0.0029051803622268803,-0.0010955992655329527,True
5,42,9,0.5108295440327247,0.3734022223400568,0.11576823362721844,-0.0009423338722671268,1.5326539326582589,0.0001532653932658259,-0.0010955992655329527,-0.0029051803622268803,-0.0010955992655329527,False
5,42,10,0.5359012228229378,0.3656117823596722,0.09848699481738998,-0.0009423338722671268,1.5326539326582589,0.0001532653932658259,-0.0010955992655329527,-0.0029051803622268803,-0.0010955992655329527,True
5,42,11,0.5560762398916987,0.41151399096476793,0.03240976914353333,-0.0009423338722671268,1.5326539326582589,0.0001532653932658259,-0.0010955992655329527,-0.0029051803622268803,-0.0010955992655329527,True
5,42,12,0.5691376400748369,0.38694654563344005,0.04391581429172309,-0.0009423338722671268,1.5326539326582589,0.0001532653932658259,-0.0010955992655329527,-0.0029051803622268803,-0.0010955992655329527,False
5,42,13,0.582199040257975,0.3623791003021122,0.055421859439912846,-0.0009423338722671268,1.5326539326582589,0.0001532653932658259,-0.0010955992655329527,-0.0029051803622268803,-0.0010955992655329527,True
5,42,14,0.5845362474305782,0.3757618483947927,0.0397019041746291,-0.0009423338722671268,1.5326539326582589,0.0001532653932658259,-0.0010955992655329527,-0.0029051803622268803,-0.0010955992655329527,True
5,42,15,0.5941418785438852,0.3732500486413247,0.032608072814790084,-0.0009423338722671268,1.5326539326582589,0.0001532653932658259,-0.0010955992655329527,-0.0029051803622268803,-0.0010955992655329527,False
5,42,16,0.6037475096571923,0.37073824888785667,0.02551424145495107,-0.0009423338722671268,1.5326539326582589,0.0001532653932658259,-0.0010955992655329527,-0.0029051803622268803,-0.0010955992655329527,True
