horizon,stock_weight,bond_weight,t_bill_weight
1,0.0,0.24,0.76
2,0.2128539495668982,0.21257998157370167,0.5745660688594001
3,0.34096182290429516,0.2293747473431899,0.4296634297525149
4,0.5122116837159305,0.2238631191713019,0.2639251971127676
5,0.5226397575378953,0.2174642108749369,0.2598960315871678
6,0.5321336317650236,0.21386252582404786,0.25400384241092855
7,0.5431732761150083,0.20871651119846496,0.2481102126865267
8,0.55437157766353,0.2121517115828991,0.23347671075357093
9,0.5636947222794175,0.2097247595220866,0.2265805181984959
10,0.611359107894425,0.18798730997506577,0.20065358213050913
11,0.5772783994929639,0.22285524357063574,0.1998663569364003
12,0.5909562631483292,0.2241908950061329,0.184852841845538
13,0.6051314840044754,0.2162524298498751,0.1786160861456496
14,0.6157069004668276,0.2998375587403071,0.08445554079286531
15,0.6155006256412419,0.3679071433542422,0.016592231004515887
16,0.6298356993763871,0.37016430062361294,0.0
17,0.6408073041198709,0.3591926958801291,0.0
18,0.641887073990493,0.35811292600950684,0.0
19,0.6489252167110509,0.35107478328894914,0.0
20,0.6516983206880667,0.3483016793119333,0.0
21,0.6549455992572426,0.3450544007427574,0.0
22,0.6621741620935542,0.3378258379064459,0.0
23,0.6650487188249644,0.33495128117503564,0.0
24,0.6743501693385832,0.3256498306614169,0.0
25,0.6759651934707058,0.3240348065292941,0.0
26,0.6904279842263327,0.3095720157736672,0.0
27,0.6883523827139585,0.3116476172860416,0.0
28,0.6969630246380459,0.303036975361954,0.0
29,0.702835205129781,0.29716479487021885,0.0
30,0.7067438901723293,0.25193806880709574,0.04131804102057504
31,0.7122551617801749,0.20670786449780576,0.08103697372201936
32,0.7249299672260923,0.22142766110231357,0.05364237167159412
33,0.7207148190414148,0.19778763096967686,0.08149754998890843
34,0.7061172009581427,0.1870488020742553,0.10683399696760205
35,0.7042090748646055,0.17015844372047415,0.1256324814149203
36,0.7123793353124045,0.17817861586203512,0.10944204882556034
37,0.7017220557662937,0.19621428040033786,0.10206366383336835
38,0.7031800484586415,0.20539901554432813,0.09142093599703041
39,0.6868485195497447,0.216280626321263,0.09687085412899248
40,0.6920420330252006,0.24051191209065625,0.06744605488414321
41,0.6785154095050416,0.24856479684731253,0.07291979364764585
42,0.6733377753030785,0.26377365213448895,0.06288857256243258
43,0.6679796032962944,0.2982671336939903,0.033753263009715165
44,0.6605927249345844,0.29567443792292764,0.04373283714248785
45,0.6604507711723487,0.2866138537355716,0.05293537509207977
46,0.6508662335645119,0.2844267574079258,0.06470700902756242
47,0.6603340080464273,0.27094272517082846,0.06872326678274421
48,0.6464518223650297,0.2892347147340489,0.06431346290092148
49,0.6407870398639405,0.2859055358480735,0.07330742428798612
50,0.6128995392642822,0.3026177902577777,0.08448267047794013
