horizon,stock_weight,bond_weight,t_bill_weight
1,0.0,0.24,0.76
2,0.3209919276777742,0.370718252188057,0.30828982013416883
3,0.3615612288166588,0.3893245865133639,0.24911418466997737
4,0.4043473561989059,0.4025449207748086,0.19310772302628548
5,0.4204046653535638,0.4095428162844178,0.1700525183620184
6,0.4230051177750211,0.4143476356592017,0.16264724656577717
7,0.4253676724559872,0.4090639065631324,0.16556842098088043
8,0.4449992309340452,0.4161393955572801,0.13886137350867478
9,0.4581762443362287,0.42200226519440726,0.11982149046936412
10,0.46742854791194427,0.42427159985541585,0.10829985223263994
11,0.4782446756923494,0.4225308841979208,0.0992244401097298
12,0.4918768956412443,0.4204831136690281,0.08763999068972766
13,0.5073484665943352,0.42016849947946744,0.07248303392619737
14,0.5214780683636988,0.4204078550101161,0.05811407662618506
15,0.5365071360478553,0.4220259885944596,0.04146687535768512
16,0.5487555988342137,0.4216943639237704,0.029550037242015936
17,0.5619018617764255,0.4200777601643697,0.018020378059204756
18,0.5729924811375375,0.4173470721150563,0.009660446747406182
19,0.5817334881729133,0.4122944281975282,0.005972083629558533
20,0.5897582858111348,0.40533329168201515,0.004908422506850085
21,0.5976082528786766,0.3984559479348769,0.0039357991864465425
22,0.6055780115196951,0.3914333325104445,0.0029886559698603654
23,0.6133544481457422,0.3845235429641307,0.002122008890127036
24,0.6204425326024887,0.37813102581721814,0.0014264415802931474
25,0.6284904361962838,0.3709462907062224,0.0005632730974938216
26,0.6357748810511207,0.3642251189488793,0.0
27,0.643334475883825,0.356665524116175,0.0
28,0.649456691559755,0.35054330844024495,0.0
29,0.6560225293522461,0.34397747064775386,0.0
30,0.6632052889676854,0.3367947110323146,0.0
31,0.6702784381003344,0.3297215618996656,0.0
32,0.6773886355929155,0.3226113644070845,0.0
33,0.6839054483693188,0.31609455163068123,0.0
34,0.6889689172885485,0.3110310827114515,0.0
35,0.6916122350935534,0.3083877649064466,0.0
36,0.6983344240539008,0.3016655759460992,0.0
37,0.70020093521531,0.29979906478469,0.0
38,0.7016660286919598,0.2983339713080402,0.0
39,0.7007133347085871,0.2992866652914129,0.0
40,0.7028550101965868,0.2971449898034132,0.0
41,0.7015558936469193,0.2984441063530807,0.0
42,0.6983791281405374,0.3016208718594626,0.0
43,0.6941749765228697,0.30582502347713025,0.0
44,0.6909499011308124,0.30905009886918755,0.0
45,0.6888492363152212,0.3111507636847788,0.0
46,0.6858752928120504,0.3141247071879496,0.0
47,0.6879761022445401,0.3120238977554599,0.0
48,0.6811347389466786,0.31886526105332136,0.0
49,0.6779708228769189,0.29223076756723126,0.029798409555849836
50,0.6341616546595759,0.344438603694237,0.021399741646187045
