horizon,stock_weight,bond_weight,t_bill_weight
1,0.17977764226640663,0.017832685883322947,0.8023896718502704
2,0.3436972560434447,0.18775685428429062,0.4685458896722646
3,0.4214379371608944,0.18641541830866395,0.3921466445304417
4,0.4887721224763479,0.19462552263155397,0.31660235489209815
5,0.483176082172928,0.22166605563188932,0.29515786219518264
6,0.49040303600350504,0.22667751863588814,0.2829194453606068
7,0.49325970991246654,0.21852034728488864,0.28821994280264485
8,0.4997778286071586,0.23047685725074657,0.26974531414209485
9,0.5303240404727747,0.23937071151832218,0.23030524800890317
10,0.5357867205607598,0.257227497445593,0.20698578199364714
11,0.55080309191964,0.26380410420749495,0.185392803872865
12,0.558247379328583,0.27028997187906967,0.1714626487923473
13,0.5736480229008727,0.27041750445815704,0.1559344726409703
14,0.5858918048101295,0.27005279620160094,0.14405539898826963
15,0.5962491194781538,0.2789393361234843,0.12481154439836192
16,0.6087619050156009,0.28256963667906065,0.10866845830533851
17,0.613803367910774,0.28864806024733575,0.09754857184189032
18,0.6224045807969218,0.29356629052579064,0.08402912867728761
19,0.6313479860684428,0.29681927122417523,0.071832742707382
20,0.6366925675931935,0.29954064753186627,0.06376678487494025
21,0.6423906477623269,0.30107128465953376,0.05653806757813935
22,0.646458520005377,0.3038649205246716,0.049676559469951476
23,0.6521774927206848,0.30667903758193793,0.04114346969737732
24,0.6578254211510126,0.30814400224959976,0.03403057659938767
25,0.6638523742996283,0.3093151297938773,0.026832495906494457
26,0.6682896005465048,0.30942994356263254,0.022280455890862694
27,0.6722884944932236,0.31093429242017867,0.016777213086597714
28,0.6754103522124574,0.31117630802913193,0.01341333975841072
29,0.6817429374942872,0.31051080027666567,0.0077462622290472155
30,0.6841261645547427,0.3103037941696381,0.005570041275619174
31,0.6872917503948739,0.30873707132699096,0.003971178278135155
32,0.6921030446761487,0.30561451613329316,0.002282439190558219
33,0.6955179430047392,0.3039191420430972,0.0005629149521634985
34,0.6961121737381899,0.3036996716258622,0.00018815463594797077
35,0.6969946636771106,0.302989339054457,1.5997268432391132e-05
36,0.7011671686246086,0.2988328313753915,0.0
37,0.701337883000783,0.2986621169992169,3.700743415417188e-17
38,0.704023857186939,0.29597614281306095,0.0
39,0.7050218566861326,0.2949781433138674,0.0
40,0.7043743107070277,0.2956256892929723,0.0
41,0.7020303440474944,0.2979696559525055,3.700743415417188e-17
42,0.7053002298018504,0.29469977019814964,0.0
43,0.7067582391269466,0.29324176087305337,0.0
44,0.7032286377508755,0.2967713622491245,0.0
45,0.7055446559339216,0.2944553440660784,3.700743415417188e-17
46,0.7040928696738481,0.29590713032615185,0.0
47,0.703282014561355,0.296717985438645,0.0
48,0.7080837849914436,0.29191621500855636,0.0
49,0.7092610845695242,0.29073891543047575,3.700743415417188e-17
50,0.6278058232416297,0.37219417675837035,0.0
