horizon,stock_weight,bond_weight,t_bill_weight
1,0.0,0.24,0.76
2,0.19112698291324587,0.1623431103949487,0.6465299066918055
3,0.3437904384141812,0.09969962970829954,0.5565099318775193
4,0.45456528515533945,0.05577298595969084,0.4896617288849697
5,0.5136693651977783,0.037238384820466236,0.44909224998175545
6,0.531437567253792,0.03855681678930089,0.4300056159569071
7,0.5391202993618618,0.048761005933606646,0.41211869470453155
8,0.5517790631425047,0.07035540166322138,0.3778655351942739
9,0.5670746398193172,0.10622180635207773,0.3267035538286051
10,0.569161187863674,0.15273172626447928,0.27810708587184674
11,0.5659594057202408,0.19479925608094772,0.23924133819881144
12,0.5715573175169137,0.22652184066231135,0.2019208418207749
13,0.5839580063183091,0.26040759763499927,0.15563439604669166
14,0.5931433243347016,0.3018837869615104,0.10497288870378796
15,0.6014555234405702,0.33849885981250294,0.06004561674692688
16,0.6142375059024046,0.36502383485421,0.020738659243385416
17,0.6247740048058208,0.37323630840913957,0.001989686785039635
18,0.6310725604865812,0.3689274395134188,0.0
19,0.6352536226272394,0.3647228868579412,2.3490514819424213e-05
20,0.6395912882000271,0.35997614714939596,0.0004325646505769498
21,0.6468127181099945,0.35278269535693485,0.00040458653307062775
22,0.6567313915737659,0.3432686084262341,0.0
23,0.6599907935105096,0.3400092064894904,0.0
24,0.6572450689973267,0.34228714925167397,0.00046778175099931874
25,0.6576178894908058,0.3417503476119138,0.0006317628972803968
26,0.6622024626328209,0.3374604943483371,0.00033704301884202037
27,0.6690339892337827,0.33096601076621734,0.0
28,0.6750113975899932,0.3248138749334059,0.00017472747660091104
29,0.6821536557902095,0.3175647728215134,0.00028157138827711314
30,0.69117305657894,0.30857018647368273,0.00025675694737725685
31,0.7012359107738416,0.2949138799824275,0.003850209243730862
32,0.7065657445308847,0.26570891148312464,0.027725343985990636
33,0.7049609444899724,0.2316752646982364,0.06336379081179122
34,0.6949288157829088,0.20055252584285205,0.10451865837423918
35,0.6847372155444356,0.17814982104344082,0.13711296341212362
36,0.675567432755301,0.16701992813873523,0.15741263910596381
37,0.6691326218756801,0.16601650157711942,0.16485087654720046
38,0.665634204192925,0.17331162887454277,0.16105416693253227
39,0.6638994739973623,0.18740912888486905,0.1486913971177687
40,0.6627264209872575,0.20476490377795484,0.13250867523478763
41,0.6593715021986379,0.22045493916148734,0.12017355863987472
42,0.653033610097334,0.23171042111041745,0.11525596879224859
43,0.6466224977382721,0.23939734778042634,0.11398015448130158
44,0.639321941965931,0.24523717986704044,0.11544087816702861
45,0.6310417549559644,0.25159028750452633,0.1173679575395093
46,0.6219891233729338,0.2608623897488629,0.11714848687820334
47,0.610437482689574,0.2741644151765263,0.11539810213389973
48,0.5931839008871107,0.29069284861960704,0.11612325049328226
49,0.5708763183226788,0.31060689574127365,0.11851678593604753
50,0.5472003449952082,0.33243650441765366,0.12036315058713809
