horizon,stock_weight,bond_weight,t_bill_weight
1,0.0,0.24,0.76
2,0.17906047802115774,0.24432839624779845,0.5766111257310438
3,0.32692347531375937,0.2489886744840597,0.424087850202181
4,0.43012368390182976,0.24926121654824152,0.32061509954992873
5,0.49883577594673656,0.24089866964715584,0.2602655544061076
6,0.5411777712304863,0.22481662749350412,0.2340056012760096
7,0.5627931287736908,0.20800582537908452,0.22920104584722467
8,0.5776598412732595,0.20065699700136763,0.22168316172537283
9,0.6025306590542918,0.20662133119293913,0.19084800975276905
10,0.6150453614575055,0.22500837636974808,0.15994626217274638
11,0.6081738642056838,0.2475263583752195,0.14429977741909675
12,0.6070652292954696,0.2672368851176793,0.12569788558685113
13,0.6017205151861132,0.2879288592281417,0.11035062558574504
14,0.6091920022052228,0.31545442547660424,0.07535357231817291
15,0.6132899051095362,0.339624948913975,0.04708514597648883
16,0.623447736048865,0.3602187555491598,0.016333508401975172
17,0.628564288939621,0.3698713166490527,0.0015643944113262753
18,0.6297613632102649,0.3697223645123295,0.0005162722774056383
19,0.634400252663613,0.365599747336387,0.0
20,0.6363674180545569,0.3636325819454431,0.0
21,0.6357162703963868,0.3634111120533049,0.0008726175503083189
22,0.6408825730736053,0.3589382166510512,0.00017921027534351097
23,0.6472436109197803,0.35275638908021967,0.0
24,0.6487157360851399,0.3512842639148601,0.0
25,0.6442935812316293,0.3557064187683707,0.0
26,0.6354998684185241,0.3636971181875929,0.0008030133938829453
27,0.6320595782313052,0.3665495033420617,0.001390918426633081
28,0.6378920775549735,0.36210792244502654,0.0
29,0.6433668516058555,0.3566331483941445,0.0
30,0.6381986471090403,0.3618013528909597,0.0
31,0.6253885266733685,0.3733986151813115,0.0012128581453199616
32,0.6206641272064964,0.3788884697432443,0.0004474030502592541
33,0.6189224147413523,0.3802205514201366,0.0008570338385110454
34,0.622894261199615,0.377105738800385,0.0
35,0.6163770982455922,0.38362290175440783,0.0
36,0.601898909211723,0.3971240951946137,0.0009769955936633212
37,0.5939340241356093,0.4056456972577379,0.00042027860665283523
38,0.5887709964371808,0.4112290035628192,0.0
39,0.5799275505643229,0.4200724494356771,0.0
40,0.5639462496802475,0.43605375031975246,0.0
41,0.5416486912869167,0.45835130871308327,0.0
42,0.5157554518904176,0.482977753751206,0.0012667943583763996
43,0.4983075082164278,0.5006540171359982,0.0010384746475740059
44,0.48778272885959806,0.5106145089167549,0.0016027622236470807
45,0.4879430309937487,0.5102390112596953,0.0018179577465560204
46,0.5002230514382726,0.49842343450494453,0.0013535140567828563
47,0.5215264989280157,0.4774142026829358,0.001059298389048502
48,0.549891935678082,0.44882797422248355,0.0012800900994344167
49,0.5867913064243777,0.4124028922503194,0.0008058013253028906
50,0.6290626860060257,0.37093731399397434,0.0
