horizon,stock_weight,bond_weight,t_bill_weight,iteration
1,0.0,0.24,0.76,0
2,0.1704379545210009,0.23470328119225056,0.5948587642867486,0
3,0.3408759090420019,0.22940656238450113,0.4297175285734971,0
4,0.5113138635630028,0.22410984357675168,0.26457629286024553,0
5,0.5226803950374473,0.2188131247690022,0.2585064801935505,0
6,0.5340469265118918,0.21351640596125274,0.25243666752685545,0
7,0.5454134579863363,0.20821968715350325,0.2463668548601604,0
8,0.556178093217194,0.20836348067723912,0.23545842610556691,0
9,0.5669427284480516,0.2085072742009749,0.22454999735097333,0
10,0.5777073636789093,0.20865106772471081,0.2136415685963799,0
11,0.586000060712512,0.20789237633774058,0.20610756294974744,0
12,0.5942927577461147,0.20713368495077036,0.19857355730311496,0
13,0.6025854547797174,0.20637499356380012,0.1910395516564825,0
14,0.6203843782915731,0.20046742236077497,0.17914819934765192,0
15,0.6381833018034289,0.19455985115774982,0.16725684703882132,0
16,0.6559822253152846,0.18865227995472467,0.15536549472999073,0
17,0.6684222865286654,0.18472914794221346,0.14684856552912115,0
18,0.6808623477420461,0.18080601592970225,0.1383316363282516,0
19,0.6933024089554269,0.17688288391719104,0.12981470712738202,0
20,0.6942467639729352,0.1766684564958564,0.12908477953120842,0
21,0.6951911189904434,0.17645402907452182,0.1283548519350348,0
22,0.6961354740079516,0.1762396016531872,0.1276249243388612,0
23,0.6970798290254598,0.17602517423185257,0.1268949967426876,0
24,0.6980241840429681,0.17581074681051798,0.12616506914651396,0
25,0.6989685390604763,0.17559631938918335,0.12543514155034036,0
26,0.7105350794701742,0.17000670076434296,0.11945821976548283,0
27,0.7221016198798721,0.16441708213950254,0.11348129798062533,0
28,0.73366816028957,0.15882746351466215,0.1075043761957678,0
29,0.7419456097895109,0.1565269357995789,0.10152745441091028,0
30,0.7502230592894515,0.1542264080844956,0.09555053262605272,0
31,0.7585005087893923,0.1519258803694124,0.08957361084119525,0
32,0.7716005454651832,0.1451809067049401,0.08321854782987674,0
33,0.7847005821409739,0.13843593304046775,0.07686348481855816,0
34,0.7978006188167648,0.1316909593759955,0.07050842180723971,0
35,0.806882590253778,0.1282350766212804,0.0648823331249417,0
36,0.8159645616907911,0.12477919386656527,0.059256244442643706,0
37,0.8250465331278042,0.12132331111185013,0.05363015576034569,0
38,0.8343981274354652,0.11893536716622151,0.04666650539831333,0
39,0.8437497217431261,0.1165474232205929,0.03970285503628098,0
40,0.8531013160507871,0.11415947927496428,0.03273920467424862,0
41,0.86186709193312,0.11177153532933566,0.02636137273754428,0
42,0.870632867815453,0.10938359138370705,0.019983540800839937,0
43,0.879398643697786,0.10699564743807843,0.01360570886413559,0
44,0.8822788679192141,0.10674143936257509,0.01097969271821081,0
45,0.8851590921406423,0.10648723128707176,0.008353676572286028,0
46,0.8880393163620703,0.10623302321156841,0.005727660426361247,0
47,0.8889276600746798,0.10597881513606507,0.005093524789255108,0
48,0.8898160037872893,0.10572460706056172,0.004459389152148968,0
49,0.8907043474998988,0.10547039898505838,0.0038252535150428285,0
50,0.8915926912125083,0.10521619090955503,0.003191117877936689,0
1,0.0,0.24,0.76,1
2,0.17043795583714566,0.23470328039800126,0.5948587637648531,1
3,0.3408759081353306,0.22958893704713335,0.4295351548175361,1
4,0.503360288318541,0.22739257882387323,0.26924713285758584,1
5,0.5226803891400215,0.21899550317066138,0.25832410768931713,1
6,0.5340469180114374,0.21351710226205461,0.25243597972650794,1
7,0.5453833492909975,0.20850412423276313,0.24611252647623935,1
8,0.5561780740092824,0.2083641761754177,0.23545774981529988,1
9,0.5669427029184237,0.20851034675083496,0.2245469503307413,1
10,0.5775837030316706,0.208661016549422,0.21375528041890737,1
11,0.5859998792345481,0.20789572238455542,0.20610439838089648,1
12,0.5942926427931876,0.20713862046315412,0.19856873674365827,1
13,0.6023997927788947,0.20750713834386342,0.19009306887724192,1
14,0.607822356369976,0.22525536193697168,0.16692228169305237,1
15,0.6248559232813484,0.2212002684239439,0.15394380829470766,1
16,0.642380898232935,0.2155625587627275,0.1420565430043375,1
17,0.6550882647592207,0.21142342757869562,0.13348830766208372,1
18,0.6668606314115723,0.20717544626613968,0.12596392232228806,1
19,0.6667284241690733,0.19104232177336758,0.14222925405755912,1
20,0.667580732083821,0.1899993124093115,0.14241995550686753,1
21,0.668525095103816,0.18978745244298983,0.1416874524531942,1
22,0.6694696441710882,0.18957310726661827,0.1409572485622935,1
