horizon,stock_weight,bond_weight,t_bill_weight,iteration
1,0.0,0.24,0.76,0
2,0.0,0.24,0.76,0
3,0.0,0.24,0.76,0
4,0.0,0.24,0.76,0
5,0.0,0.24,0.76,0
6,0.0,0.24,0.76,0
7,0.0,0.24,0.76,0
8,0.0,0.24,0.76,0
9,0.0,0.24,0.76,0
10,0.0,0.24,0.76,0
11,0.0,0.24,0.76,0
12,0.0,0.24,0.76,0
13,0.0,0.24,0.76,0
14,0.0,0.24,0.76,0
15,0.0,0.24,0.76,0
16,0.0,0.24,0.76,0
17,0.0,0.24,0.76,0
18,0.0,0.24,0.76,0
19,0.0,0.24,0.76,0
20,0.0,0.24,0.76,0
21,0.0,0.24,0.76,0
22,0.0,0.24,0.76,0
23,0.0,0.24,0.76,0
24,0.0,0.24,0.76,0
25,0.0,0.24,0.76,0
26,0.0,0.24,0.76,0
27,0.0,0.24,0.76,0
28,0.0,0.24,0.76,0
29,0.0,0.24,0.76,0
30,0.0,0.24,0.76,0
31,0.0,0.24,0.76,0
32,0.0,0.24,0.76,0
33,0.0,0.24,0.76,0
34,0.0,0.24,0.76,0
35,0.0,0.24,0.76,0
36,0.0,0.24,0.76,0
37,0.0,0.24,0.76,0
38,0.0,0.24,0.76,0
39,0.0,0.24,0.76,0
40,0.0,0.24,0.76,0
41,0.0,0.24,0.76,0
42,0.0,0.24,0.76,0
43,0.0,0.24,0.76,0
44,0.0,0.24,0.76,0
45,0.0,0.24,0.76,0
46,0.0,0.24,0.76,0
47,0.0,0.24,0.76,0
48,0.0,0.24,0.76,0
49,0.0,0.24,0.76,0
50,0.0,0.24,0.76,0
1,0.0,0.24,0.76,1
2,0.026666659575550738,0.22666667048437156,0.7466666699400777,1
3,0.026666657774208923,0.22666667221327405,0.7466666700125171,1
4,0.026666655181980057,0.22666667488247125,0.7466666699355486,1
5,0.026666655586945552,0.22666667373001362,0.7466666706830408,1
6,0.026666655140970504,0.226666673835033,0.7466666710239965,1
7,0.026666653119565936,0.2266666754720678,0.7466666714083663,1
8,0.026666649706739255,0.22666667919040487,0.7466666711028559,1
9,0.026666647059608656,0.22666668189036676,0.7466666710500246,1
10,0.026666644990723146,0.22666668387524305,0.7466666711340337,1
11,0.02666664192245664,0.22666668634024173,0.7466666717373016,1
12,0.026666639890873107,0.2266666882971206,0.7466666718120063,1
13,0.026666637231463917,0.22666669214837404,0.746666670620162,1
14,0.026666633013887813,0.2266666970059604,0.7466666699801517,1
15,0.026666628450778284,0.22666670272224818,0.7466666688269735,1
16,0.026666626666881143,0.2266667038575249,0.7466666694755939,1
17,0.026666623352834273,0.2266667074799,0.7466666691672658,1
18,0.026666621194971308,0.22666670896430255,0.7466666698407262,1
19,0.026666616208627866,0.22666671525033122,0.746666668541041,1
20,0.026666610772139405,0.2266667219021949,0.7466666673256657,1
21,0.02666660722380813,0.226666725752339,0.7466666670238529,1
22,0.026666603309529108,0.22666672976251237,0.7466666669279585,1
23,0.026666600778496936,0.22666673124056116,0.746666667980942,1
24,0.0266665970288902,0.22666673494905604,0.7466666680220537,1
25,0.026666592914271408,0.22666673878161323,0.7466666683041153,1
26,0.02666658690174612,0.22666674563550068,0.7466666674627531,1
27,0.02666658056466224,0.22666675301757422,0.7466666664177636,1
28,0.026666576164704286,0.22666675639723177,0.746666667438064,1
29,0.026666570618299083,0.22666676158426177,0.7466666677974391,1
30,0.026666561846064377,0.22666677246937103,0.7466666656845645,1
31,0.026666550538060663,0.22666678672192506,0.7466666627400144,1
32,0.02666653955314455,0.22666680033513917,0.7466666601117163,1
33,0.026666527176487053,0.22666681591236382,0.7466666569111492,1
34,0.026666519346028445,0.22666682264836632,0.7466666580056052,1
35,0.026666503425593197,0.22666684348594293,0.7466666530884639,1
36,0.02666648322256173,0.22666687039326675,0.7466666463841716,1
37,0.02666646563772051,0.22666689097076329,0.7466666433915162,1
38,0.02666644096293105,0.22666692272748287,0.7466666363095861,1
39,0.02666640323296076,0.22666697587837886,0.7466666208886603,1
40,0.02666636094721519,0.22666703350695713,0.7466666055458276,1
41,0.02666629464772417,0.22666713174695677,0.7466665736053192,1
42,0.026666219021787507,0.22666724438621225,0.7466665365920002,1
43,0.026666078614476063,0.226667469468268,0.7466664519172559,1
44,0.026665902698320285,0.226667753448075,0.7466663438536048,1
45,0.02666540250752433,0.22666865359715882,0.7466659438953168,1
46,0.0266641781104904,0.2266709701005502,0.7466648517889594,1
47,0.026662860038247072,0.22667340926374316,0.7466637306980097,1
48,0.013340044063606005,0.2533186879090243,0.7333412680273697,1
49,0.013335008743519481,0.2533279773955789,0.7333370138609016,1
50,0.013333840314761734,0.25332723153582304,0.7333389281494153,1
1,0.0,0.24,0.76,2
2,0.05319766039490543,0.21339953109835447,0.7334028085067401,2
3,0.05324545224510306,0.21337858385199376,0.7333759639029032,2
4,0.053296117075745233,0.21334964317143892,0.7333542397528158,2
5,0.053331550038872334,0.2133334620830975,0.7333349878780302,2
6,0.05331051694939047,0.21334764379618418,0.7333418392544252,2
7,0.053309218782734376,0.2133558766888442,0.7333349045284214,2
8,0.053288358381708714,0.2133530760942664,0.7333585655240249,2
9,0.05331317549644359,0.21334787744508238,0.733338947058474,2
10,0.05328382344328088,0.21336276769749163,0.7333534088592274,2
11,0.05330417326775955,0.21335150329252095,0.7333443234397196,2
12,0.05331106209454547,0.21334899682650635,0.7333399410789482,2
13,0.053308139305781765,0.21334625059637133,0.7333456100978468,2
14,0.053307114159514446,0.2133565852283994,0.7333363006120861,2
15,0.05329933904252628,0.21335947440635517,0.7333411865511186,2
16,0.053304900954702646,0.21335429532514308,0.7333408037201542,2
17,0.0533038411977342,0.21335597938831594,0.7333401794139499,2
18,0.05330753457526524,0.21335158839731447,0.7333408770274202,2
19,0.05330911363942527,0.21335614230358116,0.7333347440569936,2
20,0.05331625671823679,0.21334225428653233,0.7333414889952308,2
21,0.05331508725981463,0.21334462482977645,0.733340287910409,2
22,0.0533056100008574,0.21334744277267015,0.7333469472264724,2
23,0.053309398299541504,0.21335008813706818,0.7333405135633904,2
24,0.05330716664084489,0.21334912693431046,0.7333437064248446,2
25,0.053307232561258425,0.21334684531767326,0.7333459221210683,2
26,0.053312879309739214,0.21334580695283614,0.7333413137374246,2
27,0.05330736723320164,0.21334803729541746,0.7333445954713809,2
28,0.05330528894312914,0.21335039400663205,0.7333443170502387,2
29,0.05331214826141172,0.21334912164940562,0.7333387300891826,2
30,0.05330965057706742,0.21335072225689658,0.7333396271660361,2
31,0.05331293041830563,0.21334700218316932,0.7333400673985251,2
32,0.05330757931560573,0.2133483877688283,0.7333440329155659,2
33,0.05331103833160177,0.21334595464954526,0.733343007018853,2
34,0.05330444564612206,0.21335339014344823,0.7333421642104297,2
35,0.05330493040420052,0.21335001319040114,0.7333450564053983,2
36,0.05330837898672881,0.2133516875251135,0.7333399334881577,2
37,0.05330697242190766,0.21335657880815692,0.7333364487699354,2
38,0.053307166707166176,0.2133556622638285,0.7333371710290053,2
39,0.053311146385456594,0.2133417322658376,0.7333471213487057,2
40,0.05330520957024332,0.21335690540056995,0.7333378850291866,2
41,0.05331219882057863,0.2133399600523892,0.7333478411270321,2
42,0.053303314937268156,0.21336825245769026,0.7333284326050417,2
43,0.05329178700448408,0.21338537736663998,0.733322835628876,2
44,0.0532453124015673,0.2134599740887123,0.7332947135097204,2
45,0.0532743883515712,0.2134100792474818,0.733315532400947,2
46,0.05330448594580973,0.2133392685241743,0.7333562455300159,2
47,0.05312654913210021,0.21370235128921183,0.733171099578688,2
48,0.02920130059658973,0.26157857371506077,0.7092201256883496,2
49,0.02672859714353894,0.26651202679670827,0.7067593760597528,2
50,0.026710342209604623,0.26655750291977415,0.7067321548706212,2
1,0.0,0.24,0.76,3
2,0.0795675380087333,0.20021172319592617,0.7202207387953404,3
3,0.07971745966523051,0.20014299732965302,0.7201395430051164,3
4,0.07988606401801104,0.2000548679256733,0.7200590680563156,3
5,0.07998602206671523,0.20000567619079906,0.7200083017424856,3
6,0.07991883087763657,0.2000471561645657,0.7200340129577977,3
7,0.07992251256770871,0.20006535576308898,0.7200121316692023,3
8,0.07985905809925575,0.20006570722580416,0.7200752346749401,3
9,0.07991624874860136,0.20004749439697916,0.7200362568544194,3
10,0.07984919797087559,0.20009192654223223,0.7200588754868922,3
11,0.07988572760592429,0.200076809143011,0.7200374632510648,3
12,0.07990051744419109,0.20008484335630977,0.7200146391994992,3
13,0.07989115799212042,0.20005691110853965,0.7200519308993398,3
14,0.07989074011348335,0.20008850411835077,0.7200207557681659,3
15,0.07985967595989352,0.2000971588914801,0.7200431651486263,3
16,0.07986889736408664,0.200114800265905,0.7200163023700082,3
17,0.07988615792964837,0.20009253141521863,0.720021310655133,3
18,0.0799118471731308,0.20005638417266597,0.7200317686542033,3
19,0.07992066889728507,0.20006454653313716,0.7200147845695777,3
20,0.0799383963985005,0.2000301607912262,0.7200314428102733,3
21,0.07991844370277847,0.20005079074297533,0.7200307655542462,3
22,0.07989642743730264,0.20004093735148212,0.7200626352112152,3
23,0.07990896803652993,0.20005063128721884,0.7200404006762513,3
24,0.07989452070965895,0.20005568426520318,0.720049795025138,3
25,0.07989480327631562,0.2000580184262479,0.7200471782974365,3
26,0.07991471902917623,0.20004306167837438,0.7200422192924494,3
27,0.07990294433101662,0.20005258183889116,0.7200444738300922,3
28,0.07988586516752832,0.20008234829806243,0.7200317865344092,3
29,0.07989796615562536,0.20009185912205868,0.7200101747223159,3
30,0.0798867775267948,0.20009237492868548,0.7200208475445197,3
31,0.07989615508020621,0.20007714522079556,0.7200266996989984,3
32,0.07989190952974087,0.20006988260135516,0.7200382078689039,3
33,0.07990425711735187,0.20005371463466137,0.7200420282479868,3
34,0.07988244726078399,0.2000867188578193,0.7200308338813968,3
35,0.07988669531151832,0.2000714085410553,0.7200418961474263,3
36,0.07990144994774867,0.20006586434772178,0.7200326857045295,3
37,0.07990391674597512,0.20006988980103108,0.7200261934529938,3
38,0.07988554148215957,0.20009474253543322,0.7200197159824072,3
39,0.07988995986932407,0.20006753256667117,0.7200425075640047,3
40,0.07988102814559925,0.20010472780803315,0.7200142440463676,3
41,0.0798812857044312,0.20008878900307617,0.7200299252924927,3
42,0.07988212975343827,0.20008730212720807,0.7200305681193536,3
43,0.07986405816697793,0.20013696644389517,0.7199989753891269,3
44,0.07977144173354761,0.200272816007173,0.7199557422592794,3
45,0.07986571958961851,0.20010557272447793,0.7200287076859037,3
46,0.07990550906543185,0.19999843470023,0.7200960562343381,3
47,0.07961986600195461,0.20058659352611738,0.719793540471928,3
48,0.045210022305179294,0.26949953648609776,0.6852904412087231,3
49,0.040167092512387995,0.27952075068570925,0.6803121568019028,3
50,0.04013525914162436,0.27962816325445733,0.6802365776039183,3
1,0.0,0.24,0.76,4
2,0.10573743656080002,0.18712270786493063,0.7071398555742693,4
3,0.10606366673707078,0.18696829262349673,0.7069680406394325,4
4,0.10643615812880038,0.18677822191859023,0.7067856199526094,4
5,0.1066126387699112,0.18669087905102263,0.7066964821790662,4
6,0.10647901058373886,0.18677450902268916,0.706746480393572,4
7,0.10649887841257034,0.1867998159630954,0.7067013056243344,4
8,0.1063803467679378,0.18679941353095625,0.706820239701106,4
9,0.10645749004455603,0.1867731816882897,0.7067693282671542,4
10,0.106333192023547,0.18687912815095573,0.7067876798254973,4
11,0.10638416979290556,0.18686234417833536,0.7067534860287591,4
12,0.10639873875022332,0.1868848897953745,0.7067163714544022,4
13,0.10637358120563875,0.1868230567489595,0.7068033620454017,4
14,0.10639801586233419,0.18687277150257542,0.7067292126350904,4
15,0.1063232128695483,0.18691006969417343,0.7067667174362783,4
16,0.10634670327229798,0.18695367026597837,0.7066996264617237,4
17,0.10640373003059715,0.1868794185942693,0.7067168513751335,4
18,0.10645186342840998,0.1867967153657651,0.7067514212058249,4
19,0.10648221193948874,0.18681278941696006,0.7067049986435512,4
20,0.10650230262953349,0.18675023429758006,0.7067474630728864,4
21,0.10645997152501226,0.18678448423610358,0.7067555442388842,4
22,0.10642372898277691,0.1867604135709955,0.7068158574462275,4
23,0.10644151693758475,0.18678332834954606,0.7067751547128691,4
24,0.10639727058328816,0.18681606405114481,0.706786665365567,4
25,0.10641073379035834,0.18681104924116038,0.7067782169684813,4
26,0.10644653822708454,0.1867789022389971,0.7067745595339184,4
27,0.1064163798848963,0.18681741567186538,0.7067662044432382,4
28,0.10638998129740553,0.18687390965853223,0.7067361090440623,4
29,0.10640333961793827,0.1868993889652904,0.7066972714167713,4
30,0.10639426915852863,0.18687518000142722,0.7067305508400441,4
31,0.1064136268801792,0.1868479350506039,0.7067384380692169,4
32,0.10639584505396553,0.18685770301781318,0.7067464519282214,4
33,0.10642497255414497,0.18680939319935377,0.7067656342465012,4
34,0.1063939731931031,0.1868645198973332,0.7067415069095637,4
35,0.10639322335086604,0.18683414639922505,0.706772630249909,4
36,0.10643325616477557,0.18680614543508814,0.7067605984001363,4
37,0.1064269793241476,0.1868370281956283,0.706735992480224,4
38,0.10638722929910627,0.18689508569110355,0.7067176850097902,4
39,0.10640252371604043,0.1868402701873627,0.7067572060965969,4
40,0.10637883326110266,0.18691627996759813,0.7067048867712992,4
41,0.10637756195427206,0.1868969211503895,0.7067255168953386,4
42,0.1063668998990908,0.18688232927207296,0.7067507708288362,4
43,0.10637083048083044,0.18691380465016186,0.7067153648690078,4
44,0.10621988931757324,0.1871357727270601,0.7066443379553667,4
45,0.10635532258090823,0.18686331763107814,0.7067813597880136,4
46,0.10640029874754574,0.18671021246317243,0.7068894887892818,4
47,0.10596690095855076,0.1876376893314051,0.7063954097100441,4
48,0.06065737904595076,0.2784751956975355,0.6608674252565137,4
49,0.053590309840329,0.29244155862461413,0.6539681315350568,4
50,0.05350210989379465,0.29268446115254226,0.6538134289536631,4
1,0.0,0.24,0.76,5
2,0.13148310512783032,0.17424042934120706,0.6942764655309624,5
3,0.13220350647021648,0.17389149230823553,0.6939050012215481,5
4,0.13292379206687405,0.17352940399867636,0.6935468039344497,5
5,0.1331899954460266,0.1734095984633047,0.6934004060906686,5
6,0.13295877525995958,0.173543732349525,0.6934974923905154,5
7,0.13300495742252427,0.17356944843083857,0.6934255941466372,5
8,0.13283144809130998,0.1735634638796985,0.6936050880289915,5
9,0.13291084885937746,0.17354011556643245,0.6935490355741901,5
10,0.13271714985419308,0.17374365311021248,0.6935391970355944,5
11,0.13276078443593525,0.1737305833134872,0.6935086322505775,5
12,0.13276497392109624,0.17376738908060876,0.6934676369982952,5
13,0.13271779172425996,0.17367761025864656,0.6936045980170935,5
14,0.13276949964400456,0.17375128803230055,0.6934792123236949,5
15,0.13266591609728007,0.17381950902273138,0.6935145748799886,5
16,0.13271951684705366,0.17387813135835545,0.6934023517945909,5
17,0.13283071363538124,0.1737333880621177,0.693435898302501,5
18,0.13289582600732383,0.17360448512538537,0.6934996888672909,5
19,0.13295809222911917,0.17361282291579286,0.6934290848550879,5
20,0.1329787342027905,0.17352069736845813,0.6935005684287513,5
21,0.13290519536846404,0.17356468165406083,0.6935301229774752,5
22,0.13284899887921245,0.173534847620938,0.6936161534998495,5
23,0.13286084306689167,0.17359187654902145,0.6935472803840869,5
24,0.13277717241942116,0.17365767550560313,0.6935651520749758,5
25,0.13281397152928884,0.17363177642399688,0.6935542520467143,5
26,0.1328733881245509,0.17357889831220513,0.693547713563244,5
27,0.132832463538442,0.1736425210757975,0.6935250153857606,5
28,0.13277588303062826,0.17376447428069935,0.6934596426886724,5
29,0.13279362973546466,0.17379092549928551,0.6934154447652497,5
30,0.13281500889771922,0.1737122614508982,0.6934727296513826,5
31,0.13283922897151704,0.17367810066389566,0.6934826703645872,5
32,0.13281007809097511,0.17369772664925995,0.693492195259765,5
33,0.13284822005795632,0.17362750588976722,0.6935242740522765,5
34,0.13279285818181938,0.17371943564760373,0.693487706170577,5
35,0.13279224089388883,0.17367851421576286,0.6935292448903483,5
36,0.1328585384599091,0.1736161596236885,0.6935253019164023,5
37,0.13282791879861688,0.17369435835827032,0.6934777228431128,5
38,0.13279284035315253,0.17373949563387192,0.6934676640129754,5
39,0.13282711363737493,0.17366035412011177,0.6935125322425134,5
40,0.13277906423240207,0.17378942250597965,0.6934315132616182,5
41,0.13272582473663339,0.17385405200764603,0.6934201232557206,5
42,0.13271152611867512,0.1737893793887427,0.6934990944925822,5
43,0.13276983003173562,0.17374306546258836,0.693487104505676,5
44,0.13252675953791562,0.17413463297143544,0.693338607490649,5
45,0.1326764890928841,0.17375568621206844,0.6935678246950474,5
46,0.13254734859842754,0.17389229429975567,0.6935603571018168,5
47,0.13151838089558704,0.17605504114666998,0.6924265779577429,5
48,0.07762564410752573,0.284280982074654,0.6380933738178203,5
49,0.06721360290193992,0.30489289605504616,0.627893501043014,5
50,0.06688090464118152,0.3056836005511643,0.6274354948076541,5
1,0.0,0.24,0.76,6
2,0.15672587452474915,0.1616039691565433,0.6816701563187075,6
3,0.15806750111785964,0.16094700716465557,0.6809854917174848,6
4,0.15931996526495149,0.1603269362247371,0.6803530985103114,6
5,0.15969451793851966,0.16017540766485455,0.6801300743966258,6
6,0.15931589762356516,0.1603763461312142,0.6803077562452207,6
7,0.15939578914241526,0.1604006946035188,0.6802035162540658,6
8,0.15915773668702946,0.1603840332229889,0.6804582300899816,6
9,0.1592562710620643,0.16036459596394956,0.680379132973986,6
10,0.15894262483697547,0.16071413654376657,0.6803432386192579,6
11,0.15897265278107717,0.16070590575734992,0.6803214414615729,6
12,0.15896981486435907,0.16074351865937958,0.6802866664762613,6
