start,iteration,global_step,bisection_iteration,horizon,stock_weight,bond_weight,t_bill_weight,is_control_point
random_03,0,0,0,1,0.24985353316997516,0.5477733800271554,0.20237308680286945,True
random_03,0,0,0,2,0.25201965122341563,0.5491802154399972,0.1988001333365872,False
random_03,0,0,0,3,0.2541857692768561,0.5505870508528389,0.19522717987030494,False
random_03,0,0,0,4,0.2563518873302966,0.5519938862656807,0.19165422640402266,False
random_03,0,0,0,5,0.2585180053837371,0.5534007216785225,0.1880812729377404,False
random_03,0,0,0,6,0.26068412343717756,0.5548075570913643,0.18450831947145815,False
random_03,0,0,0,7,0.26285024149061803,0.556214392504206,0.1809353660051759,False
random_03,0,0,0,8,0.2650163595440585,0.5576212279170478,0.17736241253889365,False
random_03,0,0,0,9,0.26718247759749897,0.5590280633298896,0.1737894590726114,False
random_03,0,0,0,10,0.2693485956509395,0.5604348987427313,0.17021650560632912,False
random_03,0,0,0,11,0.27151471370437996,0.5618417341555731,0.16664355214004686,False
random_03,0,0,0,12,0.27368083175782043,0.563248569568415,0.1630705986737646,False
random_03,0,0,0,13,0.2758469498112609,0.5646554049812568,0.15949764520748236,False
random_03,0,0,0,14,0.27801306786470137,0.5660622403940985,0.1559246917412001,False
random_03,0,0,0,15,0.2801791859181419,0.5674690758069403,0.15235173827491783,False
random_03,0,0,0,16,0.28234530397158236,0.5688759112197821,0.14877878480863557,False
random_03,0,0,0,17,0.28451142202502283,0.5702827466326238,0.14520583134235332,False
random_03,0,0,0,18,0.2866775400784633,0.5716895820454656,0.14163287787607107,False
random_03,0,0,0,19,0.28884365813190377,0.5730964174583074,0.13805992440978881,False
random_03,0,0,0,20,0.2910097761853443,0.5745032528711492,0.13448697094350653,False
random_03,0,0,0,21,0.29317589423878476,0.5759100882839909,0.1309140174772243,False
random_03,0,0,0,22,0.29534201229222523,0.5773169236968327,0.12734106401094203,False
random_03,0,0,0,23,0.2975081303456657,0.5787237591096746,0.12376811054465978,False
random_03,0,0,0,24,0.29967424839910617,0.5801305945225163,0.12019515707837751,False
random_03,0,0,0,25,0.30184036645254664,0.5815374299353581,0.11662220361209526,False
random_03,0,0,0,26,0.30400648450598716,0.5829442653481999,0.113049250145813,False
random_03,0,0,0,27,0.30617260255942763,0.5843511007610417,0.10947629667953074,False
random_03,0,0,0,28,0.3083387206128681,0.5857579361738834,0.1059033432132485,False
random_03,0,0,0,29,0.31050483866630857,0.5871647715867252,0.10233038974696623,False
random_03,0,0,0,30,0.31267095671974904,0.588571606999567,0.09875743628068397,False
random_03,0,0,0,31,0.31483707477318956,0.5899784424124087,0.09518448281440171,False
random_03,0,0,0,32,0.31700319282663003,0.5913852778252505,0.09161152934811945,False
random_03,0,0,0,33,0.3191693108800705,0.5927921132380923,0.08803857588183721,False
random_03,0,0,0,34,0.32133542893351097,0.5941989486509341,0.08446562241555494,False
random_03,0,0,0,35,0.32350154698695144,0.5956057840637758,0.08089266894927269,False
random_03,0,0,0,36,0.3256676650403919,0.5970126194766177,0.07731971548299041,False
random_03,0,0,0,37,0.32783378309383243,0.5984194548894595,0.07374676201670816,False
random_03,0,0,0,38,0.3299999011472729,0.5998262903023012,0.07017380855042593,False
random_03,0,0,0,39,0.33216601920071337,0.601233125715143,0.06660085508414365,False
random_03,0,0,0,40,0.33433213725415384,0.6026399611279848,0.0630279016178614,False
random_03,0,0,0,41,0.33649825530759436,0.6040467965408266,0.059454948151579146,False
random_03,0,0,0,42,0.33866437336103483,0.6054536319536683,0.055881994685296865,False
random_03,0,0,0,43,0.3408304914144753,0.6068604673665101,0.05230904121901464,False
random_03,0,0,0,44,0.34299660946791577,0.6082673027793519,0.04873608775273236,False
random_03,0,0,0,45,0.34516272752135624,0.6096741381921936,0.04516313428645011,False
random_03,0,0,0,46,0.3473288455747967,0.6110809736050354,0.041590180820167855,False
random_03,0,0,0,47,0.3494949636282372,0.6124878090178772,0.038017227353885574,False
random_03,0,0,0,48,0.35166108168167765,0.613894644430719,0.03444427388760335,False
random_03,0,0,0,49,0.35382719973511817,0.6153014798435608,0.03087132042132107,False
random_03,0,0,0,50,0.35599331778855864,0.6167083152564026,0.027298366955038816,True
random_03,10,10,1,1,0.1383684761952432,0.2348417562317788,0.626789767572978,True
random_03,10,10,1,2,0.15999731998100775,0.2390853766216333,0.6009173033973589,False
random_03,10,10,1,3,0.1816261637667723,0.24332899701148775,0.57504483922174,False
random_03,10,10,1,4,0.20325500755253684,0.24757261740134223,0.5491723750461209,False
random_03,10,10,1,5,0.2248838513383014,0.2518162377911967,0.5232999108705019,False
random_03,10,10,1,6,0.24651269512406596,0.2560598581810512,0.49742744669488287,False
random_03,10,10,1,7,0.2681415389098305,0.26030347857090563,0.47155498251926387,False
random_03,10,10,1,8,0.2897703826955951,0.2645470989607601,0.4456825183436448,False
random_03,10,10,1,9,0.3113992264813596,0.2687907193506146,0.41981005416802586,False
random_03,10,10,1,10,0.3330280702671241,0.2730343397404691,0.3939375899924068,False
random_03,10,10,1,11,0.3546569140528887,0.2772779601303236,0.36806512581678774,False
random_03,10,10,1,12,0.37628575783865326,0.281521580520178,0.3421926616411688,False
random_03,10,10,1,13,0.39791460162441783,0.2857652009100325,0.31632019746554974,False
random_03,10,10,1,14,0.4195434454101823,0.290008821299887,0.29044773328993073,False
random_03,10,10,1,15,0.441172289195947,0.29425244168974146,0.2645752691143117,False
random_03,10,10,1,16,0.46280113298171144,0.29849606207959595,0.23870280493869267,False
random_03,10,10,1,17,0.484429976767476,0.3027396824694504,0.21283034076307367,False
random_03,10,10,1,18,0.5060588205532406,0.30698330285930486,0.1869578765874546,False
random_03,10,10,1,19,0.527687664339005,0.31122692324915935,0.1610854124118356,False
random_03,10,10,1,20,0.5493165081247696,0.31547054363901383,0.1352129482362166,False
random_03,10,10,1,21,0.5709453519105342,0.3197141640288683,0.10934048406059749,False
random_03,10,10,1,22,0.5925741956962988,0.3239577844187228,0.08346801988497854,False
random_03,10,10,1,23,0.6142030394820632,0.32820140480857724,0.05759555570935959,False
random_03,10,10,1,24,0.6358318832678279,0.3324450251984317,0.03172309153374042,False
random_03,10,10,1,25,0.6574607270535924,0.3366886455882862,0.0058506273581214185,True
random_03,10,10,1,26,0.6587535106755245,0.3356298870606789,0.005616602263796562,False
random_03,10,10,1,27,0.6600462942974566,0.3345711285330717,0.005382577169471705,False
random_03,10,10,1,28,0.6613390779193887,0.3335123700054644,0.005148552075146849,False
random_03,10,10,1,29,0.6626318615413208,0.3324536114778571,0.004914526980821992,False
random_03,10,10,1,30,0.663924645163253,0.3313948529502499,0.0046805018864971345,False
random_03,10,10,1,31,0.6652174287851851,0.3303360944226426,0.004446476792172278,False
random_03,10,10,1,32,0.6665102124071173,0.3292773358950354,0.004212451697847421,False
random_03,10,10,1,33,0.6678029960290494,0.3282185773674281,0.003978426603522565,False
random_03,10,10,1,34,0.6690957796509814,0.3271598188398208,0.003744401509197708,False
random_03,10,10,1,35,0.6703885632729136,0.3261010603122136,0.003510376414872851,False
random_03,10,10,1,36,0.6716813468948457,0.3250423017846063,0.0032763513205479942,False
random_03,10,10,1,37,0.6729741305167778,0.323983543256999,0.0030423262262231376,False
random_03,10,10,1,38,0.67426691413871,0.3229247847293918,0.002808301131898281,False
random_03,10,10,1,39,0.6755596977606421,0.3218660262017845,0.002574276037573424,False
random_03,10,10,1,40,0.6768524813825741,0.3208072676741772,0.0023402509432485677,False
random_03,10,10,1,41,0.6781452650045063,0.31974850914657,0.0021062258489237106,False
random_03,10,10,1,42,0.6794380486264384,0.3186897506189627,0.001872200754598854,False
random_03,10,10,1,43,0.6807308322483705,0.3176309920913555,0.0016381756602739973,False
random_03,10,10,1,44,0.6820236158703027,0.3165722335637482,0.0014041505659491407,False
random_03,10,10,1,45,0.6833163994922348,0.3155134750361409,0.0011701254716242832,False
random_03,10,10,1,46,0.684609183114167,0.3144547165085337,0.0009361003772994274,False
random_03,10,10,1,47,0.685901966736099,0.3133959579809264,0.0007020752829745699,False
random_03,10,10,1,48,0.6871947503580311,0.3123371994533191,0.0004680501886497133,False
random_03,10,10,1,49,0.6884875339799633,0.3112784409257119,0.00023402509432485664,False
random_03,10,10,1,50,0.6897803176018954,0.3102196823981046,0.0,True
random_03,20,20,2,1,0.14623585309387646,0.0,0.8537641469061236,True
random_03,20,20,2,2,0.18085185151850214,0.027132322500550688,0.7920158259809472,False
random_03,20,20,2,3,0.21546784994312781,0.054264645001101376,0.7302675050557709,False
random_03,20,20,2,4,0.2500838483677535,0.08139696750165207,0.6685191841305944,False
random_03,20,20,2,5,0.28469984679237914,0.10852929000220275,0.6067708632054181,False
random_03,20,20,2,6,0.31931584521700485,0.13566161250275346,0.5450225422802417,False
random_03,20,20,2,7,0.35393184364163055,0.16279393500330414,0.48327422135506537,False
random_03,20,20,2,8,0.38854784206625625,0.18992625750385483,0.42152590042988897,False
random_03,20,20,2,9,0.42316384049088185,0.2170585800044055,0.3597775795047127,False
random_03,20,20,2,10,0.45777983891550755,0.2441909025049562,0.2980292585795362,False
random_03,20,20,2,11,0.49239583734013326,0.27132322500550693,0.23628093765435987,False
random_03,20,20,2,12,0.5270118357647589,0.2984555475060576,0.17453261672918352,False
random_03,20,20,2,13,0.5616278341893846,0.32558787000660827,0.11278429580400717,True
random_03,20,20,2,14,0.5568253941970837,0.33246968896806056,0.11070491683485577,False
random_03,20,20,2,15,0.5520229542047829,0.3393515079295128,0.10862553786570436,False
random_03,20,20,2,16,0.547220514212482,0.3462333268909651,0.10654615889655296,False
random_03,20,20,2,17,0.5424180742201811,0.3531151458524173,0.10446677992740155,False
random_03,20,20,2,18,0.5376156342278803,0.3599969648138696,0.10238740095825015,False
random_03,20,20,2,19,0.5328131942355794,0.3668787837753219,0.10030802198909874,False
random_03,20,20,2,20,0.5280107542432785,0.37376060273677414,0.09822864301994734,False
random_03,20,20,2,21,0.5232083142509777,0.38064242169822643,0.09614926405079594,False
random_03,20,20,2,22,0.5184058742586768,0.38752424065967866,0.09406988508164453,False
