withdrawal_rate,best_bottom_2pct_terminal_wealth_ratio,best_terminal_return,stock_weight,bond_weight,t_bill_weight
0.03,0.2071420907643487,-0.7928579092356514,0.52,0.26,0.22
0.03111111111111111,0.16969761181210066,-0.8303023881878994,0.5,0.24,0.26
0.03222222222222222,0.13215597605740145,-0.8678440239425985,0.5,0.24,0.26
0.03333333333333333,0.09414369648655196,-0.905856303513448,0.5,0.24,0.26
0.034444444444444444,0.05580068085213331,-0.9441993191478667,0.48,0.24,0.28
0.035555555555555556,0.017173231923508885,-0.9828267680764912,0.48,0.24,0.28
0.03666666666666667,-0.022232448201748398,-1.0222324482017484,0.48,0.22,0.3
0.03777777777777778,-0.0617841387132589,-1.061784138713259,0.46,0.22,0.32
0.03888888888888889,-0.10180700045476852,-1.1018070004547684,0.46,0.22,0.32
0.04,-0.14232600540977144,-1.1423260054097715,0.44,0.22,0.34
