stock_weight,bond_weight,t_bill_weight,terminal_worst_1pct_mean,terminal_worst_2pct_mean,terminal_worst_4pct_mean,terminal_worst_10pct_mean,terminal_median,terminal_mean,simplex_x,simplex_y,is_selected
0.0,0.0,1.0,-0.2689608638503771,-0.2510198199050928,-0.22725715022764248,-0.1830023113124998,0.172261958808341,0.1908404355463514,1.0,0.0,False
0.0,0.02,0.98,-0.26760112701767313,-0.24952325797655397,-0.225591914362027,-0.18117055258512227,0.1756083308988347,0.19543819402495316,0.98,0.0,False
0.0,0.04,0.96,-0.2662661311414104,-0.2480408980748763,-0.2239424399314872,-0.17935789406350228,0.17907042097267858,0.20007973471325408,0.96,0.0,False
0.0,0.06,0.94,-0.26494977799941133,-0.24658473448415708,-0.2223053802272644,-0.17756548621752902,0.18221124492984936,0.20476546363111578,0.94,0.0,False
0.0,0.08,0.92,-0.2636500877141549,-0.2451421472126266,-0.22069055942757995,-0.1757912514704498,0.1845860778909795,0.2094957904671172,0.92,0.0,False
0.0,0.1,0.9,-0.2623677553124337,-0.24372695598094515,-0.21908994280534466,-0.17403792341195498,0.18772672188713257,0.21427112860822659,0.9,0.0,False
0.0,0.12,0.88,-0.2610969204597616,-0.24233229752657365,-0.2175030991681192,-0.17229445330384607,0.1912688760898817,0.21909189516968555,0.88,0.0,False
0.0,0.14,0.86,-0.2598403558396257,-0.2409517483516649,-0.2159474517280376,-0.17056126242134528,0.19510288009552565,0.2239585110250733,0.86,0.0,False
0.0,0.16,0.84,-0.25859370289464306,-0.23958042598511745,-0.21441801238022198,-0.16884350236489598,0.19787648925886517,0.2288714008365891,0.84,0.0,False
0.0,0.18,0.82,-0.25735208619294997,-0.2382259289671458,-0.2129187296529513,-0.1671351091458346,0.2014617514692632,0.2338309930855014,0.82,0.0,False
0.0,0.2,0.8,-0.25612825046093657,-0.23688197437529332,-0.21144739328546724,-0.16543480889468423,0.20334382762316994,0.23883772010283583,0.8,0.0,False
0.0,0.22,0.78,-0.2549458550752396,-0.2355498679015786,-0.20999944713486463,-0.1637537927587163,0.206044989247636,0.24389201810023997,0.78,0.0,False
0.0,0.24,0.76,-0.2537798243535424,-0.23424027242824938,-0.2085613809229846,-0.16208785120387156,0.20874954501370557,0.24899432720103568,0.76,0.0,False
0.0,0.26,0.74,-0.25261731754512445,-0.23294578198705398,-0.20713554704861437,-0.1604430645235932,0.21096206526596456,0.2541450914715015,0.74,0.0,False
0.0,0.28,0.72,-0.2514688923169525,-0.23166405395041256,-0.20572657921107815,-0.15880913881841863,0.21349978918693657,0.2593447589523384,0.72,0.0,False
0.0,0.3,0.7,-0.25032443109898195,-0.2304078229304873,-0.20433589962157106,-0.15718643967814702,0.21648730040749714,0.2645937816903326,0.7,0.0,False
0.0,0.32,0.68,-0.2491889128574751,-0.22917488767988065,-0.20296350053134626,-0.15558576267956636,0.21834360812538922,0.2698926157702488,0.68,0.0,False
0.0,0.34,0.66,-0.24808267302818504,-0.22795552683313858,-0.20161397569977751,-0.15400577246183175,0.2203689179728668,0.2752417213468799,0.66,0.0,False
0.0,0.36,0.64,-0.24703491241168762,-0.22677140908193025,-0.20028470246805813,-0.15245505273761514,0.223040082128546,0.28064156267734636,0.64,0.0,False
0.0,0.38,0.62,-0.24602118054375882,-0.2256166528867728,-0.19898817822177858,-0.15092433856197796,0.22659379539190588,0.28609260815356413,0.62,0.0,False
0.0,0.4,0.6,-0.24507097121599103,-0.22448656855396526,-0.19773009615837586,-0.1494134059478979,0.23073786660608223,0.2915953303349338,0.6,0.0,False
0.0,0.42,0.58,-0.2441799713100478,-0.22338877474753538,-0.19649792259553153,-0.14792644883502803,0.23316821050579084,0.2971502059812425,0.58,0.0,False
0.0,0.44,0.56,-0.24333830455571223,-0.22232233891781308,-0.19531292672860773,-0.14646993653889415,0.23707577165564492,0.302757716085741,0.56,0.0,False
0.0,0.46,0.54,-0.242551620164007,-0.22131293415465272,-0.19416601898661978,-0.14503796234744554,0.24115986416423726,0.30841834590845324,0.54,0.0,False
0.0,0.48,0.52,-0.24176862677692842,-0.22036548896282657,-0.19306891230711268,-0.1436288875915389,0.24565285995049638,0.3141325850096819,0.52,0.0,False
0.0,0.5,0.5,-0.2410192573634335,-0.21945936157284218,-0.19203166852940146,-0.14225424399600095,0.24891122996413603,0.3199009272837219,0.5,0.0,False
