start,iteration,global_step,bisection_iteration,iteration_step,raw_objective,curvature_penalty_value,curvature_penalty_term,regularized_objective,canonical_objective,objective,control_point_count,smooth,smoothing_strength,smoothing_bandwidth
random_00,0,0,0,0,-0.05072741221036997,2.295708493709585e-27,0.0,-0.05072741221036997,-0.05070252941655063,-0.05072741221036997,2,True,0.2,10.0
random_00,1,1,1,1,-0.04928127371241969,4.464354472108775e-11,0.0,-0.04928127371241969,-0.04925597244887747,-0.04928127371241969,3,True,0.2,10.0
random_00,2,2,1,2,-0.04885208016825218,0.00035838197306109444,0.0,-0.04885208016825218,-0.04882529765429167,-0.04885208016825218,3,True,0.2,10.0
random_00,3,3,1,3,-0.04896981373158964,0.0014438970637461472,0.0,-0.04896981373158964,-0.04894646551351338,-0.04896981373158964,3,True,0.2,10.0
random_00,4,4,1,4,-0.048896279846569246,0.0033827444221163913,0.0,-0.048896279846569246,-0.04887386390125185,-0.048896279846569246,3,True,0.2,10.0
random_00,5,5,1,5,-0.04853516508526114,0.006142707212239477,0.0,-0.04853516508526114,-0.0485104211826809,-0.04853516508526114,3,True,0.2,10.0
random_00,6,6,1,6,-0.04804775237531961,0.008983975804978762,0.0,-0.04804775237531961,-0.04801883503109285,-0.04804775237531961,3,True,0.2,10.0
random_00,7,7,1,7,-0.0477275996458365,0.011556622805842564,0.0,-0.0477275996458365,-0.04769838494161235,-0.0477275996458365,3,True,0.2,10.0
random_00,8,8,1,8,-0.047574329025907,0.014076009800642384,0.0,-0.047574329025907,-0.047545161840109845,-0.047574329025907,3,True,0.2,10.0
random_00,9,9,1,9,-0.047618530777247904,0.01633181874235405,0.0,-0.047618530777247904,-0.04758930085523312,-0.047618530777247904,3,True,0.2,10.0
random_00,10,10,1,10,-0.04763148360457855,0.01796357221877105,0.0,-0.04763148360457855,-0.04760209268354176,-0.04763148360457855,3,True,0.2,10.0
