start,initial_raw_objective,initial_regularized_objective,initial_canonical_objective,final_raw_objective,final_regularized_objective,final_canonical_objective,best_raw_objective,best_regularized_objective,best_canonical_objective,final_control_point_count,pre_bisection_gradient_steps,trace_states,seconds
random_01,-0.04963580695205727,-0.04963580695205727,-0.04960404706252808,-0.04386030732199766,-0.043897240974835244,-0.04381895811819752,-0.04386030732199766,-0.043897240974835244,-0.04381895811819752,17,0,41,52.4
random_00,-0.05072741221036997,-0.05072741221036997,-0.05070252941655063,-0.04386057452433095,-0.04389602363567863,-0.0438197225108767,-0.04386057452433095,-0.04389602363567863,-0.0438197225108767,17,0,41,52.2
random_02,-0.05341823273117994,-0.05341823273117994,-0.05338854399880134,-0.04387251836759743,-0.04390430650654922,-0.0438358574577175,-0.0438617769228326,-0.0438958368777699,-0.043822936656411994,17,0,41,52.7
random_03,-0.05359662381972454,-0.05359662381972454,-0.05352515365906067,-0.04387294717184229,-0.043906120218703625,-0.04383635665195405,-0.04386185185359931,-0.043897742888350445,-0.04382306469647494,17,0,41,51.8
