iteration,gradient_step,starting_age,stock_weight,bond_weight,t_bill_weight,raw_objective,curvature_penalty_value,curvature_penalty_term,regularized_objective,objective,is_control_point,is_fixed_retirement_block
5,29,20,1.0,0.0,0.0,0.6606383371004791,0.504526675242088,5.0452667524208805e-05,0.6605878844329549,0.6605878844329549,True,False
5,29,21,1.0,0.0,0.0,0.6606383371004791,0.504526675242088,5.0452667524208805e-05,0.6605878844329549,0.6605878844329549,True,False
5,29,22,1.0,0.0,0.0,0.6606383371004791,0.504526675242088,5.0452667524208805e-05,0.6605878844329549,0.6605878844329549,True,False
5,29,23,1.0,0.0,0.0,0.6606383371004791,0.504526675242088,5.0452667524208805e-05,0.6605878844329549,0.6605878844329549,True,False
5,29,24,1.0,0.0,0.0,0.6606383371004791,0.504526675242088,5.0452667524208805e-05,0.6605878844329549,0.6605878844329549,False,False
5,29,25,1.0,0.0,0.0,0.6606383371004791,0.504526675242088,5.0452667524208805e-05,0.6605878844329549,0.6605878844329549,True,False
5,29,26,1.0,0.0,0.0,0.6606383371004791,0.504526675242088,5.0452667524208805e-05,0.6605878844329549,0.6605878844329549,True,False
5,29,27,1.0,0.0,0.0,0.6606383371004791,0.504526675242088,5.0452667524208805e-05,0.6605878844329549,0.6605878844329549,False,False
5,29,28,1.0,0.0,0.0,0.6606383371004791,0.504526675242088,5.0452667524208805e-05,0.6605878844329549,0.6605878844329549,True,False
5,29,29,0.9988194590992246,0.001180540900775351,0.0,0.6606383371004791,0.504526675242088,5.0452667524208805e-05,0.6605878844329549,0.6605878844329549,True,False
5,29,30,0.9969757218684234,0.0030242781315765743,0.0,0.6606383371004791,0.504526675242088,5.0452667524208805e-05,0.6605878844329549,0.6605878844329549,False,False
5,29,31,0.9951319846376222,0.004868015362377798,0.0,0.6606383371004791,0.504526675242088,5.0452667524208805e-05,0.6605878844329549,0.6605878844329549,True,False
5,29,32,0.992835023689908,0.007164976310092053,0.0,0.6606383371004791,0.504526675242088,5.0452667524208805e-05,0.6605878844329549,0.6605878844329549,True,False
5,29,33,0.990829546112628,0.009170453887372032,0.0,0.6606383371004791,0.504526675242088,5.0452667524208805e-05,0.6605878844329549,0.6605878844329549,True,False
5,29,34,0.9856491201896304,0.014350879810369643,0.0,0.6606383371004791,0.504526675242088,5.0452667524208805e-05,0.6605878844329549,0.6605878844329549,True,False
5,29,35,0.973232324169564,0.026767675830436044,0.0,0.6606383371004791,0.504526675242088,5.0452667524208805e-05,0.6605878844329549,0.6605878844329549,False,False
5,29,36,0.9608155281494976,0.039184471850502445,0.0,0.6606383371004791,0.504526675242088,5.0452667524208805e-05,0.6605878844329549,0.6605878844329549,True,False
5,29,37,0.9468237559411301,0.05317624405886989,0.0,0.6606383371004791,0.504526675242088,5.0452667524208805e-05,0.6605878844329549,0.6605878844329549,True,False
5,29,38,0.9219000631054819,0.07809993689451805,0.0,0.6606383371004791,0.504526675242088,5.0452667524208805e-05,0.6605878844329549,0.6605878844329549,False,False
5,29,39,0.8969763702698338,0.10302362973016621,0.0,0.6606383371004791,0.504526675242088,5.0452667524208805e-05,0.6605878844329549,0.6605878844329549,True,False
5,29,40,0.8850566112693595,0.11494338873064047,0.0,0.6606383371004791,0.504526675242088,5.0452667524208805e-05,0.6605878844329549,0.6605878844329549,True,False
5,29,41,0.8671461268258918,0.1318122099874282,0.0010416631866799753,0.6606383371004791,0.504526675242088,5.0452667524208805e-05,0.6605878844329549,0.6605878844329549,False,False
5,29,42,0.8492356423824241,0.14868103124421594,0.0020833263733599505,0.6606383371004791,0.504526675242088,5.0452667524208805e-05,0.6605878844329549,0.6605878844329549,True,False
5,29,43,0.8330952902945151,0.16368441151764745,0.0032202981878374226,0.6606383371004791,0.504526675242088,5.0452667524208805e-05,0.6605878844329549,0.6605878844329549,True,False
5,29,44,0.839950405485955,0.160049594514045,0.0,0.6606383371004791,0.504526675242088,5.0452667524208805e-05,0.6605878844329549,0.6605878844329549,True,False
5,29,45,0.8248919296277519,0.17446484840482623,0.0006432219674218365,0.6606383371004791,0.504526675242088,5.0452667524208805e-05,0.6605878844329549,0.6605878844329549,True,False
5,29,46,0.8136749408648114,0.18554128876896497,0.0007837703662235546,0.6606383371004791,0.504526675242088,5.0452667524208805e-05,0.6605878844329549,0.6605878844329549,False,False
