iteration,starting_age,stock_weight,bond_weight,t_bill_weight,is_fixed_retirement_block
0,20,1.0,0.0,0.0,False
0,65,0.5,0.236,0.264,True
1,20,1.0,0.0,0.0,False
1,42,0.8542827675592887,0.14329310168565795,0.0024241307550533775,False
1,65,0.5,0.236,0.264,True
2,20,1.0,0.0,0.0,False
2,31,0.9885712649936642,0.011428735006335788,0.0,False
2,42,0.8568504941778526,0.1411967814336677,0.0019527243884796541,False
2,53,0.7479458164047799,0.24173065261431415,0.010323530980905993,False
2,65,0.5,0.236,0.264,True
3,20,1.0,0.0,0.0,False
3,25,0.9931634183412743,0.006836581658725693,0.0,False
3,31,0.9874137466436101,0.012586253356389854,0.0,False
3,36,0.9115068670672425,0.08849313293275751,0.0,False
3,42,0.8516421315067872,0.14777655560070588,0.0005813128925068745,False
3,47,0.8047932310829476,0.19319922518497173,0.002007543732080619,False
3,53,0.7301389839545986,0.26063902476939294,0.009221991276008423,False
3,59,0.6476964948637278,0.29681368751654613,0.055489817619726045,False
3,65,0.5,0.236,0.264,True
4,20,1.0,0.0,0.0,False
4,22,0.9953397732449802,0.0046602267550197585,0.0,False
4,25,0.9934814617225146,0.006518538277485386,0.0,False
4,28,0.9910206808862875,0.008979319113712525,0.0,False
4,31,0.9878603038253357,0.01213969617466426,0.0,False
4,33,0.9520697703670553,0.04793022963294469,0.0,False
4,36,0.9328846832578517,0.06711531674214832,0.0,False
4,39,0.8802644297351754,0.11973393043092796,1.639833896657783e-06,False
4,42,0.8524752301991886,0.14705959609259603,0.0004651737082153884,False
4,44,0.833354598416707,0.16578920579281958,0.000856195790473413,False
4,47,0.8044666858355584,0.19388359198926144,0.001649722175180196,False
4,50,0.7749531502209526,0.22204137635794174,0.0030054734211056866,False
4,53,0.7256968810233662,0.26535813102351297,0.008944987953120875,False
4,56,0.6918380126917986,0.2956208407918862,0.012541146516315216,False
4,59,0.6420803263228538,0.31349514805111206,0.044424525626034106,False
4,62,0.5964905758307817,0.28565873453517554,0.11785068963404277,False
4,65,0.5,0.236,0.264,True
5,20,1.0,0.0,0.0,False
5,21,0.996081367653576,0.003918632346423978,0.0,False
5,22,0.9955959290253479,0.004404070974652119,0.0,False
5,23,0.9950564942658983,0.0049435057341017385,0.0,False
5,25,0.9937978153162722,0.006202184683727796,0.0,False
5,26,0.9930696982632059,0.006930301736794098,0.0,False
5,28,0.991394793605732,0.008605206394267984,0.0,False
5,29,0.9904404346807848,0.009559565319215202,0.0,False
5,31,0.9882825927076673,0.011717407292332727,0.0,False
5,32,0.9352130287221287,0.06478697127787125,0.0,False
5,33,0.9855748421167196,0.01442515788328036,0.0,False
5,34,0.9807204617237057,0.01927953827629425,0.0,False
5,36,0.9159745746994767,0.08402542530052326,0.0,False
5,37,0.9263014563805905,0.07369854361940953,0.0,False
5,39,0.8814532069151184,0.1183153432800229,0.00023144980485868827,False
5,40,0.8724510114015364,0.12718820251330845,0.0003607860851551903,False
5,42,0.8540045167014906,0.14535429786013895,0.0006411854383704674,False
5,43,0.8042540477455973,0.18687021187306582,0.0088757403813369,False
5,44,0.8686124247134241,0.13138757528657585,0.0,False
5,45,0.8239187874246221,0.1745344534496836,0.001546759125694297,False
5,47,0.8058562407009164,0.19225994961192755,0.0018838096871560128,False
5,48,0.7962476317642657,0.20151393065039255,0.0022384375853417293,False
5,50,0.7770114983971773,0.21985307484494976,0.003135426757872928,False
5,51,0.7658409700806059,0.23015907135348246,0.003999958565911621,False
5,53,0.7319025447812156,0.2598135775306557,0.00828387768812866,False
5,54,0.7032346671667392,0.2838762383297211,0.0128890945035397,False
5,56,0.7000565883292313,0.2884228973483066,0.011520514322462039,False
5,57,0.6677872201620014,0.30691940489353814,0.025293374944460434,False
5,59,0.6572826587130987,0.3119715824239521,0.030745758862949224,False
5,60,0.6078001237763124,0.2725102899566974,0.11968958626699017,False
5,62,0.6072404945340684,0.2855431378717329,0.10721636759419872,False
5,63,0.5669399154027801,0.2706353824096489,0.162424702187571,False
5,65,0.5,0.236,0.264,True
