iteration,starting_age,stock_weight,bond_weight,t_bill_weight,is_fixed_retirement_block
5,20,1.0,0.0,0.0,False
5,21,1.0,0.0,0.0,False
5,22,1.0,0.0,0.0,False
5,23,1.0,0.0,0.0,False
5,25,1.0,0.0,0.0,False
5,26,1.0,0.0,0.0,False
5,28,0.9989281842847458,0.0010718157152541652,0.0,False
5,29,0.9970638210744931,0.002936178925506905,0.0,False
5,31,0.9932739864461007,0.006726013553899346,0.0,False
5,32,0.9509910561758552,0.04900894382414478,0.0,False
5,33,0.975482959823285,0.024517040176714966,0.0,False
5,34,0.9770552580369511,0.022944741963048854,0.0,False
5,36,0.9210505316601378,0.07894946833986216,0.0,False
5,37,0.9268853379533702,0.07311466204662975,0.0,False
5,39,0.8847670708377197,0.11523292916228034,0.0,False
5,40,0.8737559598574453,0.12624404014255475,0.0,False
5,42,0.8520240739001982,0.14789731284862873,7.861325117308748e-05,False
5,43,0.8071063776133428,0.18583464933366667,0.007058973052990525,False
5,44,0.8600378925421569,0.1399621074578431,0.0,False
5,45,0.8172856576282481,0.1817083619640086,0.0010059804077432732,False
5,47,0.795304033435826,0.20327407328261776,0.0014218932815562302,False
5,48,0.7933826284021175,0.20661737159788252,0.0,False
5,50,0.7608551110124109,0.23661304197966043,0.0025318470079286892,False
5,51,0.7552859069994801,0.2429210693962243,0.001793023604295646,False
5,53,0.724672472890638,0.2709809643316611,0.0043465627777009574,False
5,54,0.7013619201244843,0.29134040946643264,0.007297670409083079,False
5,56,0.6905190238427065,0.30328197191057377,0.006199004246719764,False
5,57,0.6652594792465325,0.3250450187896402,0.009695501963827291,False
5,59,0.6452414463910616,0.34401644325190195,0.010742110357036427,False
5,60,0.5989728191957527,0.3247534908492233,0.07627368995502398,False
5,62,0.6015021938769778,0.3452249327361822,0.05327287338684,False
5,63,0.5399700444502052,0.37008636750721824,0.08994358804257652,False
5,65,0.5,0.236,0.264,True
