starting_age,mean_entering_balance,median_entering_balance,annual_contribution
20,0.0,0.0,1.0
21,1.084143149376789,1.119394613970993,0.9223874177269321
22,2.25806052156259,2.27197518226845,0.442857926282682
23,3.5245332814217165,3.5479368378146083,0.2837255092102926
24,4.886944283746302,4.87709717712493,0.2046268469493182
25,6.353837901822157,6.326416280801491,0.15738519229664633
26,7.923437916087697,7.857190530581322,0.12620784192296206
27,9.621032773549802,9.550446178214482,0.1039389453852819
28,11.439566075652747,11.318216765081228,0.08741590313712486
29,13.408153221239077,13.36536497620873,0.07458148661487236
30,15.535893258736582,15.395159969822721,0.06436707457665183
31,17.85011877256259,17.555021126120835,0.05602203619715403
32,20.302321633742938,19.73336967942751,0.04925545058541366
33,22.931748717410454,22.118919491876415,0.04360766430519844
34,25.769827600144513,24.638949926536757,0.038805071400415274
35,28.82404083111774,27.139730483491153,0.03469326198429556
36,32.14009363531542,30.19339771635659,0.031113786143460505
37,35.73676916112112,33.38764582740547,0.0279823840675537
38,39.56989625958649,36.578622970990125,0.0252717367121662
39,43.673527790203245,40.150127654682876,0.02289716564239443
40,48.05686362709723,44.28793073572139,0.020808682142880053
41,52.76241324201544,48.44054939164835,0.018952885938198258
42,57.80702091880976,52.695185059459874,0.017298936774557277
43,63.09385443977839,57.20387713765925,0.01584940417540153
44,68.71753976879342,61.766437774978954,0.014552325408688865
45,74.91693698221309,67.05686693199551,0.013348116464470802
46,81.54166654153586,73.24085108222638,0.012263668899759585
47,88.37141621597901,78.66830452883298,0.011315876137551176
48,95.85677903431532,85.18168770485548,0.010432230355267984
49,103.86882098823136,91.44516031636954,0.00962752816952936
50,112.04665245986034,98.45925140501944,0.008924853871544628
51,120.32468477378714,105.64659869901577,0.008310846622037868
52,129.16919242934986,113.22424352274786,0.007741784098766105
53,138.6388272278468,121.82973319657255,0.007212986578114543
54,149.0088906601055,130.25043404929824,0.006711008957720752
55,159.68390291838824,138.66916444504278,0.006262371984426528
56,170.77624033716063,147.5377500532565,0.005855615500292763
57,182.4112937546012,157.42881873257272,0.005482116701311844
58,194.23200247820589,167.67459327701238,0.005148482161749872
59,206.84810823386795,178.62434117341775,0.004834465292132977
60,219.8184967038931,189.22738475590197,0.0045492077099728865
61,233.55810433052042,200.4142979095821,0.004281589811950379
62,247.73674034614368,211.99756683078238,0.004036542979465929
63,262.7411754866467,225.15313579912294,0.0038060269698794247
64,277.9195054024077,236.9419581302189,0.0035981641466728683
65,293.53910130505596,250.30327819696652,0.0034067011704882392
