approach,starting_age,terminal_worst_1pct_mean,terminal_worst_2pct_mean,terminal_worst_4pct_mean,terminal_worst_10pct_mean,terminal_worst_50pct_mean,terminal_mean
Ours,66,0.018022588476025236,0.08260171713619342,0.16001842952761763,0.29979741380730585,0.7819238304305743,1.4577560956317266
Vanguard,66,-0.0163038103443233,0.03842588336337342,0.10348344344340901,0.21922606599902242,0.6103311652241702,1.1721820224251998
Fidelity,66,-0.02552316019162574,0.03543506724632021,0.1062670470795885,0.22857997830712476,0.6577299742237437,1.2693977689726659
